,Content,quality,smell,shipping,packing,price,others,processed_content
1572,đóng gói chắc chắnrửa 1 thời gian thấy da cải thiện mềm mịn hẳn nên mua nha mn sẽ ủng hộ shop dài dài,2.0,,,2.0,,,đóng_gói chắc chắnrửa 1 thời_gian thấy da cải_thiện mềm mịn hẳn nên mua nha mn sẽ ủng_hộ shop dài_dài
13095,dùng ổn lắm nha mình săn sale được tặng thêm nước tẩy trang 200ml nữa rẻ xỉu,2.0,,,,2.0,,dùng ổn lắm nha mình săn sale được tặng thêm nước tẩy_trang 200ml nữa rẻ xỉu
879,đóng gói sản phẩm cẩn thận giao hàng nhanh chất lượng sản phẩm tuyệt vời,2.0,,2.0,2.0,,,đóng_gói sản_phẩm cẩn_thận giao hàng nhanh chất_lượng sản_phẩm tuyệt_vời
1578,"Sản phẩm của 3W clinic lúc nào cũng khiến mình hài lòng. Mình rất hay dùng sữa rửa mặt trà xanh, mùi nghe rất thích và khi sử dụng cũng không bị rát da mặt",2.0,2.0,,,,,sản_phẩm của 3w clinic lúc_nào cũng khiến mình hài_lòng mình rất hay dùng sữa rửa mặt trà xanh mùi nghe rất thích và khi sử_dụng cũng không bị rát da mặt
8406,"Da của mình thuộc dạng thường thiên khô và cực kì khó chịu. Xài chống nắng không được, kem dưỡng không được, sữa rửa mặt mạnh thì càng không.  Người ta càng dưỡng càng đẹp còn mình càng dưỡng càng xuống cấp. Nhưng em này xài thích lắm nhé, da mềm sạch không quá khô và căng da, ko bị khó chịu, không mùi. Cá nhân thích khoản không tạo bọt của em này luôn. Ai có làn da chảnh chảnh chút thì xài em này là đảm bảo mê.",2.0,,,,,,da của mình thuộc dạng thường thiên khô và cực_kì khó_chịu xài chống nắng không được kem dưỡng không được sữa rửa mặt mạnh thì càng không người ta càng dưỡng càng đẹp còn mình càng dưỡng càng xuống_cấp nhưng em này xài thích lắm nhé da mềm sạch không quá khô và căng da ko bị khó_chịu không mùi cá_nhân thích khoản không tạo bọt của em này luôn ai có làn da chảnh chảnh chút thì xài em này là đảm_bảo mê
1509,Giao sản phẩm hết hạn cho khách !,,,,,,0.0,giao sản_phẩm hết hạn cho khách
1896,dùng thì cảm thấy rất là sạch da mặt nha tuy nhiên mùi như cồn đổ ra tay nhớt nhớt,2.0,0.0,,,,,dùng thì cảm_thấy rất là sạch da mặt nha tuy_nhiên mùi như cồn đổ ra_tay nhớt nhớt
13027,"Mua dùng thử, khối lượng nằm ở nửa chai, hơi ít.",,,,,,0.0,mua dùng thử khối_lượng nằm ở nửa chai hơi ít
4112,"sản phẩm tốt , đóng gói cẩn thận , giáo hàng thân thiện , sẽ quay lại mua nữa",2.0,,2.0,2.0,,,sản_phẩm tốt đóng_gói cẩn_thận_giáo hàng thân_thiện sẽ quay lại mua nữa
8679,đã mua lần 2 sài ok lắm nha mn da dầu mụn ko có bị khô quá khi dùng em này giao nhanh shipper nhiệt tình cute hết sức,2.0,,2.0,,,,đã mua lần 2 sài ok lắm nha mn da_dầu mụn ko có bị khô quá khi dùng em này giao nhanh shipper nhiệt_tình cute hết_sức
1845,dùng ok chai thứ hai rồi làm sạch tốt ko gây khô da tạo bọt cũng ok,2.0,,,,,,dùng ok chai thứ hai rồi làm sạch tốt ko gây khô da tạo bọt cũng ok
8925,dùng cũng khá ổnlúc đầu thấy sale nên mua tưởng shop giao loại mẫu mới ra ai ngờ vẫn loại cũ ‍,1.0,,,,,,dùng cũng khá ổnlúc đầu thấy sale nên mua tưởng shop giao loại mẫu mới ra ai_ngờ vẫn loại cũ
5382,Mình đã xài sửa rửa mặt vichy tạo bọt được hơn 3 tháng. sau thời gian sử dụng mình thấy làn da hỗn hợp dầu nhạy cảm của mình có cải thiện rõ rệt. mụn giảm hẳn đi. có cảm giác thông thoáng và sạch sẽ. Tiếp tục ủng hộ vichy,2.0,,,,,,mình đã xài sửa rửa mặt vichy tạo bọt được hơn 3 tháng sau thời_gian sử_dụng mình thấy làn da hỗn_hợp dầu nhạy_cảm của mình có cải_thiện rõ_rệt mụn giảm hẳn đi có cảm_giác thông_thoáng và sạch_sẽ tiếp_tục ủng_hộ vichy
9354,"Date mới , nhận hàng siêu nhanh đặt hôm m2 chiều m3 đã nhận đc. Tiki ko chê đc khoản đóng gói",,,2.0,2.0,,2.0,date mới nhận hàng siêu nhanh đặt hôm m2 chiều m3 đã nhận đc tiki ko chê đc khoản đóng_gói
6714,"Srm sử dụng phù hợp với da hỗn hợp! Chai to xài thoải mái! Do sản phẩm tạo bọt nhiều nên xài khá thư giãn. Sau khi rửa sạch với nước thì da cảm giác sạch sẽ nhưng không quá khô rít! Công dụng làm sạch tốt nhưng tẩy trang thì tương đối nếu bạn chỉ xài kem chống nắng, son môi hay nhũ mắt thì ổn! Còn xài mascara hay eyeliner thì nhất định phải xài kèm tẩy trang trước khi rửa mặt nhé! Mình make up nhẹ chỉ son môi và kcn nên tẩy trang bằng em này ổn luôn! Mùi thì mình không thích lắm vì hơi nồng!",1.0,,,,,2.0,srm sử_dụng phù_hợp với da hỗn_hợp chai to xài thoải_mái do sản_phẩm tạo bọt nhiều nên xài khá thư_giãn sau khi rửa sạch với nước thì da cảm_giác sạch_sẽ nhưng không quá khô rít công_dụng làm sạch tốt nhưng tẩy_trang thì tương_đối nếu bạn chỉ xài kem chống nắng_son môi hay nhũ mắt thì ổn còn xài mascara hay eyeliner thì nhất_định phải xài kèm tẩy_trang trước khi rửa mặt nhé mình make up nhẹ chỉ_son môi và kcn nên tẩy_trang bằng em này ổn luôn mùi thì mình không thích lắm vì hơi nồng
12563,"giao hàng nhanh so với dự kiến 
sản phẩm tuy bên ngoài hộp hơi méo nhưng sản phẩm ko bị đổ ra ngoài",,,2.0,,,,giao hàng nhanh so với dự_kiến sản_phẩm tuy bên ngoài hộp hơi méo nhưng sản_phẩm ko bị đổ ra ngoài
7512,chất lượng khá ok mình xài thấy ổn nên mua lại lần hai sẽ mua lần nữa nếu hết,2.0,,,,,,chất_lượng khá ok mình xài thấy ổn nên mua lại lần hai sẽ mua lần nữa nếu hết
5503,Xài thấy da khô. Chắc tẩy sạch quá. Nên phải dùng dưỡng thêm,1.0,,,,,,xài thấy da khô chắc tẩy sạch quá nên phải dùng dưỡng thêm
13999,chất lượng sản phầm tốt nhưng giao hàng hơi lâu đóng gói sản phẩm cẩn thận,2.0,,0.0,0.0,,,chất_lượng sản phầm tốt nhưng giao hàng hơi lâu đóng_gói sản_phẩm cẩn_thận
13233,dùng thích quó i hông bị quá khô sau khi rửa rất mê,2.0,,,,,,dùng thích quó i hông bị quá khô sau khi rửa rất mê
7517,"Bọc hàng cẩn thận. Khi dùng ban đầu thì cũng bình thường nhưng càng về sau sẽ càng bị nồng mùi cồn kiểu hàng Nhật đặc trưng. Rửa mặt xong cảm giác mặt vẫn còn 1 lớp dưỡng ẩm khá rõ, tuy nhiên nếu bạn nào da dầu như mình thì nên dùng loại bọt không kèm dưỡng ẩm, cảm giác sẽ sạch hơn.",2.0,1.0,,2.0,,,bọc hàng cẩn_thận khi dùng ban_đầu thì cũng bình_thường nhưng càng về sau sẽ càng bị nồng mùi cồn kiểu hàng nhật đặc_trưng rửa mặt xong cảm_giác mặt vẫn còn 1 lớp dưỡng ẩm khá rõ tuy_nhiên nếu bạn nào da_dầu như mình thì nên dùng loại bọt không kèm dưỡng ẩm cảm_giác sẽ sạch hơn
14219,"Mình dùng sản phẩm này được 1 tháng, và thấy sản phẩm này có ưu điểm là không mùi, nhiều bọt, rửa xong không làm căng, rát da mà thấy da mát, cảm giác đã rửa sạch hết bụi, lượng dầu trên mặt không còn. Tuy nhiên khả năng giảm mụn thì mình không thấy rõ tác dụng.",2.0,,,,,,mình dùng sản_phẩm này được 1 tháng và thấy sản_phẩm này có ưu_điểm là không mùi nhiều bọt rửa xong không làm căng rát da mà thấy da mát cảm_giác đã rửa sạch hết bụi lượng dầu trên mặt không còn tuy_nhiên khả_năng giảm mụn thì mình không thấy rõ tác_dụng
7503,dùng rất ok sản phẩm không có lỗi gì giá cả hợp lý đóng gói sản phẩm cẩn thận giao hàng nhanh,2.0,,2.0,2.0,2.0,,dùng rất ok sản_phẩm không có lỗi gì giá_cả hợp_lý đóng_gói sản_phẩm cẩn_thận giao hàng nhanh
5912,"giao nhanh, sản phẩm khá chất lượng phù hợp với hs nhe",2.0,,2.0,,,,giao nhanh sản_phẩm khá chất_lượng phù_hợp với hs nhe
3614,chai nhỏ hơn mức mình tưởng nhưng đóng gói ổn áp lần đầu dùng ko boeets sẽ như nào,,,,0.0,,0.0,chai nhỏ hơn mức mình tưởng nhưng đóng_gói ổn_áp lần đầu dùng ko boeets sẽ như nào
2108,Đây là lần đầu tiên mình dùng sản phẩm hãng này sau khi đọc review khá tốt từ mọi người. Tiki giao hàng nhanh và gói cẩn thận. Sản phẩm sữa rửa mặt khá lỏng nên mỗi lần sử dụng rất tốn và khó lấy so với các loại mình đã sử dụng. Sau khi rửa xong thì da hơi khô và rít.,0.0,,2.0,2.0,,0.0,đây là lần đầu_tiên mình dùng sản_phẩm hãng này sau khi đọc review khá tốt từ mọi người tiki giao hàng nhanh và gói cẩn_thận sản_phẩm sữa rửa mặt khá lỏng nên mỗi lần sử_dụng rất tốn và khó lấy so với các loại mình đã sử_dụng sau khi rửa xong thì da hơi khô và rít
12988,dành cho da mình mua để dùng cho da khô tuy nhiên rửa mặt xong thấy da vẫn khô lắm,0.0,,,,,,dành cho da mình mua để dùng cho da khô tuy_nhiên rửa mặt xong thấy da vẫn khô lắm
13932,dùng rất ok mình đã mua lần t2 của shop rất đáng để dùng cho da có mụn,2.0,,,,,,dùng rất ok mình đã mua lần t2 của shop rất đáng để dùng cho da có mụn
15056,"Đây là chai thứ hai mình dùng, phải nói là cực kì hài lòng srm mùi thơm dịu nhẹ, làm sạch không khô da rửa xong thấy rất mát, qua một thời gian sử dụng thì mặt mình giảm mụn hẳn cái này là sự thật, còn về sáng và trắng thì cũng có nhưng không nhiều nhưng giúp da bạn sáng hơn khi không sử dụng. Dung tích nhiều sài dc khá lâu nói chung là oke mấy bạn nào phân vân không biết sài loại gì thì mình khuyên nên sài loại này!!!",2.0,2.0,,,,2.0,đây là chai thứ hai mình dùng phải nói là cực_kì hài_lòng srm mùi thơm dịu nhẹ làm sạch không khô da rửa xong thấy rất mát qua một thời_gian sử_dụng thì mặt mình giảm mụn hẳn cái này là sự_thật còn về sáng và trắng thì cũng có nhưng không nhiều nhưng giúp da bạn sáng hơn khi không sử_dụng dung_tích nhiều sài dc khá lâu nói_chung là oke mấy bạn nào phân_vân không biết sài loại gì thì mình khuyên nên sài loại này
8324,dùng không bị kích ứng hay nổi mụn dùng khá thích sau khi rửa mặt không bị khô kin kít hợp da dầu,2.0,,,,,,dùng không bị kích_ứng hay nổi mụn dùng khá thích sau khi rửa mặt không bị khô kin_kít hợp da_dầu
5431,được tặng rất nhiều sản phẩm xài không hết luppn hi vọng lân sau sẽ được tặng sử dụng sản phẩm bên shop rất hiệu quả với lan da mình mãi yêu,2.0,,,,,2.0,được tặng rất nhiều sản_phẩm xài không hết luppn hi_vọng lân sau sẽ được tặng sử_dụng sản_phẩm bên shop rất hiệu_quả với lan da mình mãi yêu
7872,chai to xài lâu chủ yếu rửa sạch bụi bẩn đã dùng đến chai thứ 2 rồi,2.0,,,,,,chai to xài lâu chủ_yếu rửa sạch bụi bẩn đã dùng đến chai thứ 2 rồi
14669,đóng gói sơ sài sản phẩm không có hộp trông…,,,,0.0,,0.0,đóng_gói sơ_sài sản_phẩm không có hộp trông
5221,"Sau 1 tuần sử dụng mình thấy sản phẩm sữa rửa mặt này của senka hoàn toàn có thể làm sạch được da mặt mình, vì chỉ cần lấy 1cm sữa là có thể tạo bọt được rất nhiều rồi, da mặt của mình cũng mịn và lỗ chân lông thu nhỏ lại hơn. Mình mua được khuyến mãi tặng kèm dầu tẩy trang, mùi thơm tự nhiên, cũng làm sạch son, lớp trang điểm ( mình chỉ trang điểm nhẹ đi học thôi ) của mình rất hiệu quả. Về giao hàng của Tiki thì không còn gì để nói rồi, quá tuyệt vời luôn. Dùng hết mình sẽ lại ủng hộ Tiki sản phậm này.",2.0,,,,,2.0,sau 1 tuần sử_dụng mình thấy sản_phẩm sữa rửa mặt này của senka hoàn_toàn có_thể làm sạch được da mặt mình vì chỉ cần lấy 1cm sữa là có_thể tạo bọt được rất nhiều rồi da mặt của mình cũng mịn và lỗ_chân_lông thu nhỏ lại hơn mình mua được khuyến_mãi tặng kèm dầu_tẩy trang mùi thơm tự_nhiên cũng làm sạch_son lớp trang_điểm mình chỉ trang_điểm nhẹ đi học thôi của mình rất hiệu_quả về giao hàng của tiki thì không còn gì để nói rồi quá tuyệt_vời luôn dùng hết_mình sẽ lại ủng_hộ tiki sản phậm này
13310,chất lượng sản phẩn ổn hopej giá tiền hàng như hình đúng mô tả đóng gói sản phẩm rất an toàn hàng nhận đến tay k bị méo hình ảng mang tc nhận xu,2.0,,,2.0,,,chất_lượng sản phẩn ổn hopej giá tiền hàng như hình đúng mô_tả đóng_gói sản_phẩm rất an_toàn hàng nhận đến tay k bị méo hình ảng mang tc nhận xu
8499,giao hang nhanh chua xai chua biet chat luong,,,2.0,,,,giao hang nhanh chua xai chua biet chat luong
6925,Mình mua 03 sp để chung 01 hộp nhưng k được hài lòng về đóng gói,,,,0.0,,,mình mua 03 sp để chung 01 hộp nhưng k được hài_lòng về đóng_gói
12948,dịu nhẹ làm sạch tốt giao nhanh,2.0,,2.0,,,,dịu nhẹ làm sạch tốt giao nhanh
4325,"Làm sạch sâu , tốt  mát mẻ da mặt khi xài , nên tạo bọt nhìu",2.0,,,,,,làm sạch sâu tốt mát_mẻ da mặt khi xài nên tạo bọt nhìu
3219,đóng gói kỹ giao hàng tiêu chuẩn srm bao thích nên mua,,,2.0,2.0,,2.0,đóng_gói kỹ giao hàng tiêu_chuẩn srm bao thích nên mua
7689,dịu nhẹ xài tốt giao hàng siêu nhanh đóng gói kĩ càng,2.0,,2.0,2.0,,,dịu nhẹ xài tốt giao hàng siêu nhanh đóng_gói kĩ_càng
4935,rửa xg thấy da mịn màng cảm giác rất thích,2.0,,,,,,rửa xg thấy da mịn_màng cảm_giác rất thích
9899,đóng gói cẩn thận quà tặng ok hợp nhu cầu chưa dùng nên chưa biết công dụng thế nào hi vọng ok nếu tốt sẽ tiếp tục ủng hộ,,,,2.0,,2.0,đóng_gói cẩn_thận quà tặng ok hợp nhu_cầu chưa dùng nên chưa biết công_dụng thế_nào hi_vọng ok nếu tốt sẽ tiếp_tục ủng_hộ
1193,đóng gói rất kĩ càng giao hàng nhanhh uyyyy tínhhhh lắmm nhhaaa,,,2.0,2.0,,,đóng_gói rất kĩ_càng giao hàng nhanhh uyyyy tínhhhh lắmm nhhaaa
45,Phù hợp với da mặt tiết nhiều bã nhờn,1.0,,,,,,phù_hợp với da mặt tiết nhiều bã nhờn
5196,đã dùng gần hết 1 chai nên giờ mua lại sản phẩm tốt dịu nhẹ cho da đóng gói kĩ giao hàng nhanh video chỉ để nhận xu,2.0,,2.0,2.0,,,đã dùng gần hết 1 chai nên giờ mua lại sản_phẩm tốt dịu nhẹ cho da đóng_gói kĩ giao hàng nhanh video chỉ để nhận xu
976,đặt lần đầu chưa xài thử nhg thấy shop gửi nhanh và ship nhiệt tình sẽ ủng hộ shop tiếp,,,2.0,,,,đặt lần đầu chưa xài thử nhg thấy shop gửi nhanh và ship nhiệt_tình sẽ ủng_hộ shop tiếp
