content,rating
"sản phẩm tốt , đóng gói cẩn thận , giáo hàng thân thiện , sẽ quay lại mua nữa",5
"mới mua chưa sài nên chưa biết thế nào,nhưng đóng gói cẩn thận nha mn",5
"shop giao hàng nhanh,vừa đặt chiều hôm qua sánh nay đã nhận được, về chất lượng chưa sd nên sau khi sd sẽ rv ssau.",5
Tốt. Mình dùng đến chai thứ mấy luôn rồi,5
Làm sạch sâu k khô da,5
"Giao hàng nhanh, hàng chính hãng",5
Sp đúng hình quà tặng tốt,5
giao nhanh để xài thử mới biết,5
Giống ảnh sự dụng lần đầu chưa thấy gì,5
đóng gói cẩn thận.giao hàng nhanh,5
hàng giao nhanh.Đóng hàng cẩn thận.cảm ơn shopp,5
"hơi khác so với lọ cũ mình đang dùg mua tại siêu thị mườg thanh về mùi, hơi hắc hơn xíu. nhưg chắc do khác phiên bản vì lọ cũ 2018. nchug dùng rồi k thấy dị ứng gì.",5
"Sạch,dịu nhẹ với da",5
dùng thích,5
"đây là típ thứ 2 mìk xài,  dùg buổi sáng hợp hơn buổi tối vì buổi tối mìk có tẩy trang dùg e này thấy hơi nhẹ đô. Sẽ ủg hộ đồ of Hada dài dài",5
Giao hàng nhanh,5
Da tung dung srm nay nay mua tren tiki k biet chat luong co nhu cai da dung,5
Rửa mặt nhẹ nhàng,5
Dùng quen rồi nên mua,5
"Cực kì nhẹ dịu với da, không gây khô ráp, ưnggggggg!!!",5
"Giao hàng nhanh, cực kỳ hài lòng, đã sử dụng loại này nhiều nên rất yên tâm",5
đã sử dụng 2 lọ đây là lọ 3.thấy ok,5
"Mình thấy cái mùi hơi hắc hắc sao ấy. Nhưng tạm thời mới dùng 1 thời gian ngắn thì thấy ổn.
Mình cảm thấy khá tin tưởng vào hadalabo.",5
sản phẩm xài hơn 2 tuần. da căng bóng hẳn,5
giao nhanh,5
"Mình dùng khá thích, giao hàng đúng thời gian",5
"Sp tốt. Mua lần thứ 3 rồi
???????????????????????????",5
"Mẹ mình bảo thích lắm, da mẹ dùng ko bị khô như mấy loại tụi mình xài",5
đồ bán kèm nên chất lượng cũng bt,5
"hàng chính hãng, đã check mã vạch, giao hàng nhanh.",5
Giao hàng nhanh hơn dự kiến.,5
Sữa rửa siêu thích,5
Sản phầm xài tạm ổn. Có thể do mình không hợp nên chưa thấy tác dụng gì nhưng ok,5
"Sữa rửa mặt rất nhẹ nhàng, ko bị khô căng, cảm giác rất tốt khi sử dụng, mùi hương nhẹ nhàng.",5
giao nhanh. tot.,5
"Giao hàng nhanh, đóng gói cẩn thận, chỉ còn chờ sử dụng để đánh giá chất lượng",5
giao hàng nhanh,5
"Rất hài lòng về dịch vụ của Tiki, đóng gói sản phẩm chắc chắn, sản phẩm sử dụng tốt",5
hàng đúng sản phẩm,5
"Giao hàng nhanh, chất lượng srm thì khá tốt, nhiều bọt giữ ẩm tốt nhưng khá cay mắt",5
"sản phẩm tốt, không khô da và không bị dị ứng, mình yêu sản phẩm này",5
"Sản phẩm dùng ổn, giá thành hợp lý, ko bị khô da. Rất nên dùng thử",5
Đã nhận được hàng sớm so với dự kiến. Đóng gói cận thẩn. Chất lượng sản phẩm tốt,5
sản phẩm tốt chính hãng giao hàng hơi chậm. bắt viết nhận xét quá dài ????,5
rửa xong da không bị kích. xài ok nhé.,5
Giao hàng rất nhanh. Trong vòng 24h là có hàng liền rồi. Đóng gói cẩn thận. Sản phẩm tốt,5
"Đóng gọi cẩn thận,giao hàng nhanh.
Hài lòng với chất lượng sản phẩm.",5
bao bì sản phẩm hơi dơ và cũ,5
chai thứ hai dùng hợp làm da ko gây khô dễ sử dụng,5
dùng rất thích. rửa xong da mặt láng min. sáng bóng.,5
"kem rửa không có mùi, dùng xong da mịn  và cảm nhận được da có độ ẩm",5
"Sản phẩm tốt , xài mịn da .",5
"giao hàng nhanh,đóng gói cẩn thận,sản phẩm dùng rất ok",5
Chất lượng và giao hàng nhanh đúng yêu cầu...........,5
"Nhân viên giao hàng nhanh 
Shop gói hàng kỹ lưỡng 
Nhưng sản phẩm ko đầy ( khoảng 3/4 chai)
Sữa rửa mặt ổn cho da mặt  , có chất lượng tốt, chắc cũng có chống lão hoá",4
"giao hàng hết hạn sử dụng, mình là kh quen thuộc của tiki nhưng lần này thấy thất vọng quá, cầm 1 sp đóng gói cho Kh mà nó cũ mèm đã ố vàng check lại đã hết hạn sd từ tháng 6/2019 mà cũng đóng gói giao Khách thì Tiki nên xem lại.",1
"Sản phẩm của Hada Labo thì rất tốt, Tiki đưa ra gói giảm giá rất hấp dẫn, gói hàng tỉ mỉ, nhân viên giao hàng lịch sự, nhân viên chăm sóc khách hàng bằng mail và hộp thư chu đáo. Đó là những ưu điểm để được 4 sao! Tuy nhiên Tiki giao hàng quá lâu, hơn 1 tuần, phí giao hàng quá cao nếu không mua đủ hạn mức, nên mình trừ đi 1 sao, cần khắc phục!",4
"Khi đóng gói giao hàng nên gói sản phẩm trong túi chống sock thay vì giấy bìa các tông, nhìn vừa bẩn vừa mất mỹ quan. Chất lượng sản phẩm dùng cũng thấy bt, chưa thực sự thấy hiệu quả.",3
lần đầu tiên mua hàng bên tiki thấy thất vọng quá. tuýp srm thì bị chầy xước nhìn cũ lắm ý. biết là tuýp to nhưng có 80ml thì lấy ra nó ít nhưng k nghĩ là khó lấy nv. kiểu như bị dùng r ý. chưa dùng nên chưa đánh giá. nhưng vẫn để 4* vì giao hàng nhanh,4
"hàng quá tệ với vừa bóc ra cũ kĩ, xỉn màu và dính đất
có nữ hàng mới nguyên mà bóp méo hộp vẫn chưa ra sp",1
"Có lẽ không phù hợp với mình, rửa mặt xong vẫn cảm giác không khô thoáng, để lại nhờn dính mặt, vỏ sản phẩm khiến mình lo nghĩ có lẽ là sản phẩm giả, phần thân tuýp bị xước lộ màu trắng nguyên bản của tuýp kiểu nhuộm đỏ lên thân vỏ vậy, và phần đáy tuýp gần date sử dụng màu đỏ cảm giác như hàng giả đích thực, màu sắc vỏ sản phẩm không thật, và không tinh tế, tuy nhiên với giá tiền này thì mình không đòi hỏi nhiều, có thể bỏ đi và không dùng đến khi mình k thấy phù hợp hay nghi ngờ",3
"Vỏ thì ố vàng, trày xướt, nhãn mán đầy bụi.  Check xem thì đã hết hạn sử dụng từ 28/06/2019. Rất không hài lòng. mong tiki có biện pháp giải quyết",1
"Sản phẩm dùng ổn nhưng đợt này do dịch nên giao hàng quá lâu, hơn 2 tháng rồi mình mới nhận được",4
ai cũng nói mua điều có quà tặng những mình mua thì kg có.hơi thất vọng còn về sản phẩm thì chưa sử dụng nên sẽ đánh giá sao,4
"Nhận hàng xong mang ra xài có cảm giác dung tích k đủ 80g. Phải bóp từ tít dưới dấy chai mới ra được sữa rửa mặt. Bình thường mua ở Nhật về thì thấy chai rất đầy, ấn nhẹ một chút là đã ra sữa rửa mặt.",3
Nhãn ghi pH cân bằng nhưng khi rửa mình vẫn cảm giác da hơi khô 1 xíu xíu so với những srm khác.,4
Mua tặng mẹ nên cũng kh biết chất lượng như nào. Nma giao hàng nhanh. Đóng gói ổn.,4
Đã giao tới đâu mà đòi đánh giá một sao nhé,1
"Mùi không nồng lắm nhưng đúng kiểu mùi của mĩ phẩm Nhật ý. Cảm giác dùng trên mặt cũng khá sạch nhưng da cứ bị căng căng không mềm mịn, được cái không bị dị ứng",4
k hài lòng.tem nhãn vớ vẩn quá.minh rửa bị kích ứng da,1
k đk đóng hộp nắp nỏng... kêu đk tặng túi kèm theo mà k thấy có quà,1
"Giao hàng nhanh, đóng gói kĩ",4
"hình ảnh ko liên quan,sữa rửa mặt dở lắm.",3
"Nhận típ sữa rửa mặt giống hàng trưng bày hay sài rồi vậy cu xi nhìn típ sữa ko thiện cảm tí nào,mùi thì hôi ko chịu được,sảng phẩm thì ko có gi ngày sx, ko biết là do hết hạng sd hay hàng giả nữa",1
Giao Hàng Nhanh. chưa sd,4
không có quà tặng mà để có quà tặng,3
Mua hộ chị nên không biết chất lượng thế nào nhưng mình từng dùng loại màu trắng thấy khá ổn,4
sữa mặt như hình dùng tốt,4
"Chất lượng ok , giá hợp lý , giao nhanh",4
"Đặt hàng 3 món, mà chỉ giao 1, phản hồi thì chưa thấy shop giải quyết",1
Trên giới thiệu sản phẩm có giỏ tặng kèm nhưng mình không nhận được quà tặng kèm,3
Bị lỗi khi vừa nhận được. vỏ bị trầy xước và lủng lỗ khiến sản phẩm chảy ra ngoài,2
Sao phần sắp xếp lại bỏ phần giảm giá ? Mình thấy rất bất tiện khi sử dụng app :(((,4
"sử dụng da lên nám, không hợp",3
"Srm dùng ok, ko khô căng, nhưng tuýp giống như bị rỗng, ruột có xíu mà cái vỏ chà bá, ko có tem niêm phong.",4
bọt hơi ít. sạch da. mà hơi ít sản phẩm,4
SRM gây khô da. ko thích hợp với da khô,3
"Da mình mụn và nhạy cảm đã nổi mụn, ngứa rát sau khi sử dụng sữa rửa mặt này",2
Đặt hơn 2 tháng mới giao hàng.,2
Sữa rửa mặt có mùi ko thik lắm.,2
Tiki ơi mình chưa nhận được hàng,1
Trong chai kem ko có miếng niêm phong ở miệng chai nên có cảm giác ko đảm bảo về chất lượng,3
"sao gửi hàng không niêm phong , chai giống như đã xài dỡ là sao",1
đua hàng ko đúng ai đặt nua🤨,1
Hàng quá tệ srm như kiểu đã qua sd. K có nghiêm phong bao bì sp,1
một đơn mà giao hai lần. mình cũng không thích điều này lắm.,4
Hang nhìn hơi cũ,4
Rất tốt rất mềm da nhé mn đáng mua,4
"Hàng đóng gói cẩn thận , giao đúng ngày, chưa dùng nên chưa nhận xét về chất lượng",4
sản phẩm thì OK nhưng mà giao hàng quá chậm chờ cả hơn chục ngày ms có hàng,4
Moi nguoi lưu ý trọng lượng nha. Chi co 80g nên hơi nhỏ,1
"Giao hàng nhanh, shipper nhiệt tình, chất lượng chờ 1 times sau nx",4
Sp dùng cũng được tuy nhiên lượng sữa quá ít chỉ đươcj 1/3 hộp thôi,3
"Sản phẩm còn date xa, sử dụng tốt, mua ở tiki nhiều lần rồi",4
sp dùng ko thích cho lắm,2
rửa xg thấy da mịn màng cảm giác rất thích,4
"Rữa mềm lắm nha, ahihihihi",4
"(*) Đánh giá không tính điểm
(*) Đánh giá không tính điểm
không biết gì đâu mà sử dụng",1
"(*) Đánh giá không tính điểm
Chỉ thấy tác dụng làm sạch da còn  chống lão hóa dưỡng ẩm không thấy",3
"Lần đầu đặt thử đơn hàng trên tiki mà thấy hài lòng quá chừng, 100% là hàng real rồi, gói hàng chắc chắn. Shipper dễ thương. Giao cực nhanh, đặt hôm qua hôm nay đã giao.",5
"Sp ổn
Shipper thân thiện",5
"Có các hạt li ti nhưng mềm tròn ko cứng, ma sát lên da ko gây rát , hạt mềm hơn các loại khác nhé. Hoàn toàn không mùi, gel trong đặc, rửa xong rất sạch nhưng ko hề khô da.",5
"sữa rửa mặt dụi nhẹ, không kích ứng, rửa xong hơi thấy khô một chút, srm có các hạt nhỏ tuy nhiên khi rửa thì ko thấy có cảm giác chà xát trên da. Da mình là da khô nhạy cảm vào mùa đông và nhảy cảm dầu nhẹ vào mùa hè, trước đây mình từng dùng cetephil và cocoon",5
"Như ở phần gt sản phẩm thì sữa rửa mặt này giúp kiềm dầu nên khi rửa xong mặt sẽ khá khô, mấy đứa mặt cả chậu dầu như mình thì thấy ok lắm nha.",5
"SRM có hạt nhưng rất nhỏ,có mùi lạ ko thơm hơi chua nhẹ,ko tạo bọt nhìu nên dùng hơi hao xíu nha,lần sau mình sẽ mua lại nhưng là Srm dòng khác của Simple",5
"Lần đầu dùng sản phẩm của simple cảm thấy rất tốt 
Giá tiền phù hợp với học sinh
Dùng xong da mặt rất mịn và mát 
Cũng có kìm dầu nhưng được 1 phần nào đó thôi",5
tiki làm việc cực kì nhanh chóng,5
"Sử dụng rất tốt, không gây kích ứng da, rất đáng đồng tiền bát gạo để mua nha.",5
"Da mặt của mình là da thường, đeo khẩu trang rồi ăn uống cay nóng nên da có lên ít mụn,mình đã sử dụng đc 4 tháng ko đều nhưng hiệu quả thật sự, giảm mụn rõ luôn.",5
Chưa dùng thử nên chưa biết nhưng nếu có hiệu quả thì sẽ quay lại mua nhiều nhiều ạ😘 có điều đóng gói chưa chắc chắn cho lắm cần cải thiện về mảng đóng gói,5
Đặt hôm qua nay đã giao rồi ạ. Sữa rữa mặt dịu nhẹ mùi dễ chịu ko nồng dùng rất mịn ạ. Mọi người nên thử,5
"Giao hàng ko nhanh lắm, dùng bình thường ở mức độ ổn, giá thành hợp lý với hssv",5
"tùy da nhưng đối với bản thân mình sử dụng thấy khá hợp, sản phẩm lành tính, khả năng làm sạch ổn không gây căng da. So với mức giá thì quá chất lượng",5
"Da mình là loại da hỗn hợp thiên dầu rất dễ bị nổi mụn. Khi sử dụng sản phẩm này thấy khá là hợp, rửa sạch dịu nhẹ, ko làm khô da.",5
"Sản phẩm khá đặc, dạng keo trong có hạn siêu nhỏ, khi rữa da như được cấp nước và khô thoáng. Do có hạt nên hạn chế trà sát mạnh.",5
"Giao nhanh, sáng đặt chiều nhận hàng, lần đầu dùng khá thích, không bị khô da",5
Hai srm dịu nhẹ hợp vs da nhạy cảm or da thiên dầu,5
"Đóng gói cẩn thận nha , ko gây kích ứng da , rửa mặt xong cũng ko bị khô da hay căng da",5
Làm sạch sâu khoong gay kich ưng lành tính,5
Giao đúng mẫu,5
Sài rất sạch da và ko bị kích ứng,5
"dùng sạch, ổn, không gây khô, ngứa da",5
sp tốt. k gây kích ứng da.,5
Sài rất ok nhẹ dịu ko kích ứng,5
cầm nặng tay cũng ok nhưng srm cứ đặc đặc với có mấy hạt hơi khó chịu chút,5
"giao hàng nhanh chóng, gói sp kỹ càng",5
lần đầu sử dụng giao hàng nhanh.,5
"Rửa sạch nhưng hơi khô. Dạng gel có hạt liti không quá phù hợp với da nhạy cảm, da dễ nổi mụn.",5
"Sp tốt, nên mua ha 🌞, giá rẻ nữa",5
sp tốt nha có hạt nhỏ xài đã lắm,5
giao hàng nhanh gói hàng cẩn thận rửa rửa mặt dịu nhẹ ổn định lần sau ủng hộ tiếp,5
"Hàng tốt,shipper thân thiện",5
"hàng giao giống như hình ảnh, hsd xa 2024",5
"kiềm dầu, mịn da, sảng khoái",5
Tiki gói hành kĩ lắm,5
"Đóng gói cẩn thận,giao hàng nhanh",5
"Mình sử dụng được vài ngày, cảm giác sạch và ko xà phòng, rất đáng để trải nghiêm",5
mình mới đặt hôm qua mà nay đã có rồi nói chung chưa thử nhưng thấy giao hàng khá nhanh,5
"Giao hàng nhanh, gói kĩ. Giá sản phẩm khá rẻ. Chất lượng tạm ổn.",5
"giao đúng hàng, đúng thời gian, dùng thích lắm có các hạt li ti mát xa",5
"Chất lượng hàng xịn xò, mua ở tiki rất yên tâm về hàng có chính hãng không",5
Tốt.Giao hàng nhanh,5
Dung tam được mua sale rất đáng mua,5
"Rửa xong da khá ổn, giảm mụn , không khô rát da",5
Chưa dùng nên chưa bik nhưng vẫn cho shop 5*,5
đúng là dùng rất okela ! ko có xa phòng lên rửa có vào mắt cx ko cay !,5
"mùi dịu nhẹ, ít bọt. da sạch, có độ ẩm nhẹ.",5
"bao bọc sản phẩm cẩn thận, hàng chính hãng.",5
giao hàng nhanh lắm. Shipper nhiệt tình sữa rửa mặt dùng okela í,5
"Sữa rửa mặt dịu nhẹ, rửa sạch mà không bị khô căng.",5
"Nhận được hàng giống hình, dùng nhẹ dịu",5
"Sản phẩm giao siêu nhanh, không bị móp méo. Tuyệt vời 😁",5
"Giao hàng nhanh, chưa dùng nhưng hy vọng sẽ phù hợp da mặt",5
Sản phẩm xài khá tốt giảm nhờn,5
sản phẩm dùng rất tốt. giao hàng nhanh,5
Sp dùng giảm mụn đáng kể. Giao nhanh,5
"giao hàng hơi lâu, còn lại k có j để chê",5
Kiềm dầu kém hơn Laroche posay,5
dùng đc 2 tuần thấy giảm được 60% mụn,5
"giao hàng nhanh,cô shipper nhiệt tình.",5
"Giao hàng nhanh,tuyệt",5
"Giao hàng nhanh
Sp tốt",5
Làm sạch sâu,5
Giao hàng nhanh. Nhân viên thân thiện nhiệt tình. Tuy nhiên không có quà tặng chai sữa tắm như hình quảng cáo.,4
Mua Combo 02 hộp mà chỉ nhận dc 01 hộp là sao??,1
"Đã nhận được hàng, đủ 3 món. Không có món tặng kèm, chắc là hết lượt rồi",4
"- Sản phẩm giao hàng nhanh, đặt hôm trước hôm sau đã được giao luôn rồi..
- Chú shipper thân thiện, nhiệt tình ạ
- Sản phẩm mới sử dụng lần đầu nên chưa có cảm nhận rõ ràng nhất. Nhưng được cái là khá dịu nhẹ và rửa xong da không bị khô căng",4
"Hàng giao hơi lâu nhưng tại dịch nên bỏ qua nói có quà tặng kèm nhưng ko có, chc lượng sản phẩm chx dùng nên chx bt",4
Không có quà tặng. Nhà bán hàng nên gỡ bỏ khuyến mãi,2
"Giao hàng nhanh, cẩn thận, hạn dùng dài. Chất lượng thì chưa dùng nên chưa biết.",4
Nhận đúng hàng giao nhanh nhưng sao  thấy  trên hình ảnh là mua srm tặng tẩy trang mà mk k  thấy😶😑,4
Sản phẩm tốt tuy nhiên ko có bao bì và tuýp hơi bẩn làm mình hơi quan ngại,4
"Chất lượng kém,mùi khó chịu",1
"Có vẻ như sản phẩm làm khô những đầu mụn lại , đống gói chưa ok lắm , hộp bị méo mó và có vẻ như là shipper check hàng",4
Ko có tẩy trang đi kèm:((,1
giao hàng nhanh ; mới sài lần đâu tiên chưa biết s ??,4
"Hài lòng, tuy nhiên mùi của sản phẩm mình thấy hơi khó chịu",4
Không được tặng hàng khuyến mãi,1
Làm sạch tức thời nhưng không kiềm dầu được lâu,4
sài thấy ngứa nên dừng luôn,4
"Sạch cơ bản, nhẹ nhàng",4
Không có quà km như mô tả,3
Gel dạng hạt sạn sạn nên rửa không thích lắm.,3
"sáng phẩn về đến tay bị bẩn, không được mới",4
ụa sao ko thấy bọt nhỉ... sạch nhưng ko thấy bọt gì cả,3
Hàng về ko thấy có quà tặng kèm thất vọng,1
đóng gói quá tệ làm sp bị gẫy lắp,1
"Giao hàng hơi lâu do dịch bệnh rất phức tạp (chỉ thị 16 ở TPHCM) nhưng hàng thì có vẻ rất OK. Mã QR Code ok, hàng đầy đủ seal niêm phong bên ngoài. Mình rửa mặt thử thấy ko có dị ứng hay kích ứng gì dù da mình khá nhạy cảm. Nói chung 5 sao cho shop và sản phẩm",5
ok ok oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke oke,5
"Dùng rất tốt, k bị khô da cũng k bị dầu. Thích hợp với những bạn da dầu nhiều",5
"Phải nói là trong các sản phẩm của Hadalabo thì mình ưng nhất sữa rữa mặt, dùng rất ok luôn 
Sữa rữa mặt Hadalabo ko chất tạo màu, ko cồn, ko hương liệu, thành phần làm sạch da thiên nhiên được chiết xuất từ dầu dừa và đặc biệt là độ pH 5.5 sau khi mình rữa mặt xong ko bị khô da,  ko căng rít mình nghĩ phù hợp với nhiều loại da lắm mình sẽ tiếp tục sử dụng sản phẩm này lâu dài",5
"Hàng mới, date 09/2023. Dùng ok cho da dầu. Loại màu xanh ở cuối bảng thành phần có paraben. Mình nghĩ các nhà bán hàng bán mỹ phẩm, thực phẩm chức năng... nên ghi rõ bảng thành ở mục mô tả sản phẩm thì tiện hơn ạ.",5
"Mỹ phẩm Hada Labo đã không còn là thương hiệu xa lạ với các bạn gái .Quả thật, nhiều năm gần đây Hada Labo đã dần trở thành một thương hiệu skincare Nhật Bản lừng lẫy tiếng tăm khắp thế giới và đặc biệt bùng nổ ở châu Á nói chung cũng như là Việt Nam nói riêng .Hada Labo PERFECT WHITE có thể nói là một trong những sản phẩm “đinh” giúp Hada Labo có một chỗ đứng nhất định trong lòng các cô gái trẻ Việt Nam.

Bài review sữa rửa mặt Hada Labo này sẽ dành cho những ai chưa từng là một “fan”, để mọi người có thể hiểu hơn về của sản phẩm đính đám này nha.

Trải nghiệm thực tế:

Tiki giao hàng nhanh, tiền ship giá gốc khá đắt, tận 44k. Nhưng mua gói Tikinow nên mọi thứ rẻ hẳn ra, rất tiện. Những ngày cuối năm quả chỉ có Tiki mới là chỗ dựa vững trãi nhất nhất, đặt đâu, giao liên đó, chưa bao giờ làm mình thất vọng. Yêu Tiki!

Shipper thân thiện, luôn tuân thủ đúng 5k, 10 điểm cho Tiki!

 

Chất lượng sản phẩm:

Hada Labo PERFECT WHITE là sản phẩm của hãng Rohto, Nhật Bản. Theo mình tìm hiểu thì các thành phần trong tuýp sữa rửa mặt Nhật Bản này khá lành tính. Đặc biệt trong đó là “Arbutin”- đây là thành phần được sử dụng rất nhiều trong các loại sản phẩm có chức năng làm trắng. Vậy nên chẳng có gì là ngạc nhiên trước tên gọi PERFECT WHITE đúng không nào? Đây chắc chắn là sữa rửa mặt trắng da không lệch đi đâu được",5
"Sữa rửa mặt giá rẻ nhưng mà chất lượng thật sự, mua 3 lần rồi ọ nhưng mà vẫn ưnggg. Vừa đặt hôm qua mà hôm nay đã có rồi, anh shipper siêu lịch sự với thân thiện, hài lòng lắm nhaaa",5
"sản phẩm chất lượng, nhưng shop đóng gói không cận thẩn, dầu gội vòi bị xịt ra ngoài hết",5
"Sp tốt, không bị khô sau khi rửa mặt, vẫn để lại 1 lớp dưỡng, sau khi mặt khô thì da sạch không đổ nhờn",5
"giao hàng nhanh kinh khủng luôn,mới đặt hôm hôm qua,sáng nay đã có rồi nè,srm đầy đặn nè,tuy gói hàng hơi sơ sài nhưng srm có 1 lớp bọc đầu tuýp r mọi ng k phải lo nha",5
Giao hàng siêu nhanh.. gói hàng cẩn thận. sản phẩm ok ạ. Sẽ ủng hộ shop tiếp.,5
"srm dịu nhẹ, cấp ẩm tốt. Đây là tuýp t3 mình dùng rồi, bạn nào tìm 1 srm làm sạch vừa phải và đủ ẩm, giá bình dân thì nên thử nha!",5
Sữa rửa mặt thấy dịu nhẹ. Ko bị khô quá sau khi rửa.,5
Sản phẩm như quảng cáo.. Giao hàng nhanh trước dự kiến.. Còn sản phẩm thì mình chưa dùng nên chưa biết sản phẩm như thế nào ạ,5
"hàng mới, date xa 12-2024, chất lượng tốt",5
giao hàng nhanh,5
"mình thấy srm tạo bọt tốt, làm sạch da mặt ổn mình sử dụng khoảng 3 chai rồi và vẫn đang dùng. Mọi người có thể cân nhắc nha",5
"Hàng đóng gói cẩn thận, ship nhanh túi cx đẹp lắm nha mn nên mua nên mua",5
"hết màu trắng nên mình mua màu xanh, dùng cũng ổn ạ. độ ph 5.0 vừa phải, mềm da ko bị khô",5
"mua giúp nên không biết sao, về tay giá 77k nhé mn
nên mua",5
"Mình vẫn đang dùng, hợp với da",5
Chưa sd những vẫn cho shop 5*. Dong gói cẩn thận quà tặng đẹp,5
"Đúng mẫu! Giá ổn, còn được tặng kèm giấy thấm dầu",5
"giao hàng đúng hẹn, tuy nhiên hàng gói hơi lỏng lẻo. Nói chung là dịch vụ khá hài lòng",5
Giao hàng nhanh! Đóng gói cẩn thận,5
"sản phẩm chính hãng, êm dịu , sạch sâu",5
"Srm dùng xong da hơi khô, phải dùng kem dưỡng ẩm k là bị bong da. Nhưng mà trộm vía thì mình dùng cũng k đến nỗi nào. Cho shop 5 sao",5
