,Content,QUALITY,SMELL,SHIPPING,PACKING,PRICE,OTHERS
48,"Chưa dùng nên chưa biết, những cũng đc",,,,,, Neutral
49,"Rửa rửa mặt không gây khô da,", Neutral,,,,,
50,"Đây là loại sữa rửa mặt mình ưng nhất trong thời gian này,sạch sâu,nhưng không gây kích ứng,không làm khô da...giá mua lúc sale siêu rẻ nữa chứ...", Positive,,,, Positive,
51,"sản phẩm như hình
chưa dùng nên chưa biết ổn không
đóng gói có chút sơ sài
giao hàng nhanh",,, Positive, Negative,, Positive
52,"đóng hàng cẩn thận
rửa không bị khô ra
khả năng làm sạch thì k rõ lắm?", Neutral,,, Positive,,
53,"xài thích, rửa mặt sạch không nhờn rít cũng không quá căng", Positive,,,,,
54,"sale giá tốt 75k, thơm,bọt nhiều, sạch dầu, khá hợp với da mình.  Mình sẽ ủng hộ tiếp vào lần sau nha", Positive,,,, Positive,
55,Vô cũng hài lòng ....hạn sử dụng tới tận 2023 .. rửa cảm giác sạch ... p/s ảnh ko liên quan do quên chụp sản phẩm lúc nhận hàng hihii, Positive,,,,, Positive
56,Mình chưa sử dụng nên chưa biết được công dụng của nó có tốt thật không,,,,,, Neutral
57,"Rửa mặt sạch nhưng không khô da. Dạ mình thuộc dạng da khô. Rửa xong da mềm mịn.Nếu bạn nào da dầu, nhờn nhiều sử dụng sợ không tẩy sạch hết. Mùi thơm thoảng thoảng dễ chịu.", Positive, Positive,,,,
58,"Mua lần 2 của tiki, giá rẻ hơn bên ngoài. Sữa rửa mặt phù hợp da mình nên dùng rất sạch và tốt", Positive,,,, Positive,
59,sản phẩm OK đong goi kỹ nhận hàng nhanh nhân viên giao hàng vui vẻ nhiệt tình,,, Positive,,, Neutral
60,Cực kỳ hài lòng. Giao hàng nhanh,,, Positive,,, Positive
61,"Đóng gói chắc chắn, giao hàng nhanh. Mới dùng thấy srm mùi thơm dịu nhẹ, không quá ẩm cũng không quá khô, nói chung dùng ổn, có vẻ chính hãng. còn lại phải đợi dùng nhiều mới biết được.", Positive, Positive, Positive, Positive,,
62,"mua hàng tiki trading nên ko lo về đồ nhái, sữa rửa mặt dùng rất ok, ít bọt, ko gây cảm giác căng cứng sau khi rửa.", Positive,,,,, Positive
63,"Giá so với trọng lượng tuýt thì khá rẻ lun. Có mùi thơm nhẹ khá thích, dùng xog vẫn còn ẩm mịn ko bị kích ứng", Positive, Positive,,, Positive,
64,"Gửi hàng siêu nhanh luôn ạ. Da mình không phải loại da nhạy cảm nên dùng không thấy vấn đề gì, 1 lọ này thoải mái dùng luôn ấy", Positive,, Positive,,,
65,Hương thơm rất dễ chịu. Rửa mặt sạch sâu, Positive, Positive,,,,
66,"Dùng được 3 hôm, cũng khá ổn. Chất lượng sản phẩm của Tiki Trading thì khỏi bàn cãi, 100% tin dùng.", Positive,,,,,
67,"Hàng tốt nhé. Dùng thích lắm, mình đã mua thêm dự trữ", Positive,,,,,
68,Đóng gói cẩn thận sp nhìn tổng quan tốt còn phải sài mới biết đc,,, Negative,,,
69,"Chất lượng sản phẩm tuyệt vời
Đóng gói cẩn thận", Positive,, Positive,,,
70,"Srm này thích hợp vs các bạn da dầu hơn là da thường. Srm có mùi thơm nhẹ, tạo bọt tốt", Neutral, Positive,,,,
71,"túyp 170g to tướng  , mùi hơi giống senka xanh da trời . rửa k bị khô da ncl tốt", Neutral,,,,, Positive
72,"Thơm,mịn da,xài thời gian nữa mới biết có trắng ko", Neutral, Positive,,,,
73,"Giao hàng nhanh, đóng gói chưa tốt nhưng sp không bị hư hỏng gì, sp giống với chai mình đang sử dụng nên vẫn ok",,, Positive, Negative,,
74,Khá hài lòng dòng sản phẩm Hatomugi nên mua thêm để thử, Positive,,,,,
75,"Tiki giao hàng siêu nhanh, đóng gói tốt",,, Positive, Positive,,
76,giao hàng nhanh thật,,, Positive,,,
77,đóng gói kĩ. chưa sử dụng nên chưa có trải nghiệm thực tế.,,,, Positive,,
78,"Sữa rửa mặt thơm, chất kem mịn, tạo bọt tốt. Giao hàng nhanh. 5 sao luôn.", Positive, Positive, Positive,,,
79,"da khô nên cân nhắc, mình dùng thử thì thấy rất ít ẩm rửa xong bị căng da sạch kin kít ấy", Neutral,,,,,
80,"Sản phẩm dịu nhẹ không gây kích ứng cho da , giữ được độ cho da , chất lượng tốt hơn nhiều so với giá tiền", Positive,,,,,
81,"Giá ok, bọt nhiều, sài lâu.", Positive,,,, Neutral,
82,"Gúa tốt,làm sạch sâu", Positive,,,, Positive,
83,"Giao nhanh, đóng gói kĩ, chai lớn, giá thành rẻ",,, Positive, Positive, Positive,
84,Giao nhanh ạ. Chưa dùng nên chưa biết chất lượng,,, Positive,,,
85,"Dùng mịn da và sạch sâu lắm nhé, với một lượng nhỏ cũng có nhiều bọt rồi nên dùng k hao đâu mn ạ 😂", Positive,,,,,
86,"Mình dùng hàng này nhiều rồi, rất là ok", Positive,,,,,
87,"Phù hợp da dầu. mùi thơm nhẹ, không bị khô da", Positive, Positive,,,,
88,Không kích ứng, Neutral,,,,,
89,chưa sử dụng nên không biết chất lượng như thế nào. đánh giá 5 sao trước review sau nhá.,,,,,, Neutral
90,"chưa dùng nhưng shop giao nhanh, bọc khá kỹ",,, Positive, Positive,,
91,"Giao hàng siêu nhanh, chai to đùng, có mùi thơm nhẹ, da mình thuộc da khô mà thấy ok", Neutral, Positive, Positive,,,
92,"mua của tiki trading cũng đáng tin, thành phần ổn, rửa mặt sạch nhưng kiểu sạch bong kin kít thì mình hơi ngại", Neutral,,,,, Positive
93,"giao hàng nhanh, đóng gói cẩn thận, chưa sử dụng nên chưa biết thế nào",,, Positive, Positive,,
94,"Dùng xong thấy da mềm, có mùi thơm nhẹ, tạo bọt dễ, nhiều bọt", Positive, Positive,,,,
95,"rất lành tính cho da , sẽ ủng hộ", Positive,,,,,
96,"SRM dùng khá oke, giao hàng nhanh", Positive,, Positive,,,
97,Hàng do Tiki phân phối nên đảm bảo nguồn gốc và chất lượng.,,,,,, Positive
98,"Mùi khá dễ chịu, dùng khá thích", Positive, Positive,,,,
99,"Đóng gói cẩn thận, giao hàng nhanh.",,, Positive, Positive,,
100,"sản phẩm sử dụng siu ưng luôn ạ
mùi thơm dịu nhẹ", Positive, Positive,,,,
101,rất hài lòng với sản phẩm,,,,,, Positive
102,"sản phẩm rất okay. mới nguyên seal.
YouTube đã mua",,,,,, Positive
103,Hàng chính hãng. date lâu. Nên mua ạ.,,,,,, Positive
104,"Sạch sâu , phù hợp với da dầu", Positive,,,,,
105,sản phẩm tốt giao hàng nhanh tiếp tục ủng hộ shop kiki,,, Positive,,,
106,sp tốt. giao hàng thân thiện, Positive,, Positive,,,
107,cảm giác sạch n k bị khô da. k biết có hợp k. hợp sẽ dùng lâu dại., Neutral,,,,,
108,"Dùng rất thích, mình đã dùng thêm loại màu xanh", Positive,,,,,
109,Sản phẩm nhiều chưa dùng nên ko biết sao .huy vọng tốt ,,,,,, Neutral
110,Mùi thơm nhẹ ạ,, Positive,,,,
111,hơi khô nhưng giá rẻ nên dùng ổn, Neutral,,,, Positive,
112,chưa xài nhưng thấy ship hàng tốt ạ,,,,,, Neutral
113,"Dùng xong cảm giác da mặt sạch, nói chung ổn", Neutral,,,,,
114,"Hàng chuẩn, sử dụng tốt", Neutral,,,,, Neutral
115,Mùi thơm dễ chịu nhiều bọt mịn hi vọng sẽ sáng da lên ạ, Neutral, Positive,,,,
116,không phù hợp cho da khô nha, Negative,,,,,
117,mua lại lần 2 vì quá ưng, Positive,,,,,
118,"Giá ưu đãi, giao hàng nhanh",,, Positive,, Positive,
119,"Mùi thơm đê chịu, không thấy khô da sau rửa", Neutral, Positive,,,,
120,dùng tốt đáng tiền. mong phí ship rẻ hơn hoặc free càng tốt, Positive,,,,,
121,"Sp tốt, giá tốt, giao nhanh", Positive,, Positive,, Positive,
122,Nhẹ dịu da, Neutral,,,,,
123,giao hàng nhanh chóng.,,, Positive,,,
124,dùng thích nắm luôn, Positive,,,,,
125,"Dịu nhẹ,sạch mặt", Positive,,,,,
126,Sd thích lắm nhaaaaaaaaaa 👌💕,,,,,, Positive
127,"hàng đúng mẫu , giao hành nhanh",,, Positive,,, Positive
128,đóng gói thì khỏi phải bàn hàng thì rất tốt !, Positive,,, Positive,,
129,date dài đóng gói cẩn thận ạ,,,, Positive,, Positive
130,dùng xong da mềm lắm luôn, Positive,,,,,
131,tốt. đóng gói ok, Positive,,, Neutral,,
132,Hành chính hãng tốt, Positive,,,,, Positive
133,giáo hàng nhanh phù hợp vs giá tiền,,, Positive,, Positive,
134,rat thich mui huong,, Positive,,,,
135,dùng sạch, Neutral,,,,,
136,sản phẩm tốt nhưng giao hàng rất lâu..., Positive,, Negative,,,
137,shipper giao nhanh.,,, Positive,,,
138,"Mình không biết những người khác dùng ra sao, có lẽ do da mặt không hợp nên dùng bị kích ứng.", Negative,,,,,
139,"Giá hạt dẻ mà chất lượng ok, mùi thơm nhẹ dễ chịu, rửa sạch, tuy nhiên hơi khô, nên dùng thêm toner.", Neutral, Positive,,, Positive,
140,"Rửa sạch, mùi dễ chịu tuy nhiên sữa rửa mặt không đồng nhất: dốc ngược sữa đặc, để xuôi sữa lỏng. ????", Neutral, Positive,,,,
141,"Kính gửi: Tiki! Chưa bao giờ tôi mua hàng bên Tiki bị thiếu, hỏng hay sao cả mà lần này Tiki đã giao thiếu hàng là lọ sữa rửa mặt này. 
Rất mong Tiki nhanh chóng trả sớm hàng cho tôi.
Cảm ơn Tiki",,,,,, Negative
142,"Bữa trước sài cái màu trắng thấy cũng ok, giờ chuyển sang sài cái màu xanh nên để từ từ đánh giá chất lượng nó như nào nhí,", Neutral,,,,,
143,"Đóng gói sơ sài, giấy rác trong hộp. Tuýp sữa rửa mặt thì sơ, rất cũ kỹ.",,,, Negative,, Negative
144,Mình đã thanh toán trước mà hàng thì vận chuyển chậm chạp . Sẽ ki mua lại trên tiki,,, Negative,,, Negative
145,"dùng xong da mình bị dị ứng, nổi mẫn đỏ, bong tróc, rát nữa, không biết là do đã mình hay là hàng giả nữa, thất vọng thật sự luôn á", Negative,,,,,
146,"Sản phẩm được đóng gói khá chắc chắn, srm không gây căng kít, hay làm khô da, thực rất tốt, chỉ cần cho 1 ít ra tay rồi tạo bọt là đủ dùng rồi tiết kiệm với 170g", Positive,,, Positive,,
147,sản phẩm khi dùng xong sẽ sạch kiểu kin kít nên dùng thêm dưỡng ẩm khi rửa mặt xong, Positive,,,,,
148,Tại sao mình mua ghi nhà cung cấp Tiki Trading mà đến lúc giao lại ghi NPP: KJMart,,,,,, Neutral
149,"mùi rất thơm, chỉ là ai da ko ổn lắm thì ko lên dùng vì dễ khô da và nổi mụn", Neutral, Positive,,,,
150,"sp rửa xong để lại cảm giác hơi rít da, có 1 lớp bóng dầu trên da. Sẽ không mua lại lần 2,mn nên cân nhắc", Negative,,,,,
151,"bọt mịn, mềm. hiệu quả lm sạch khá tốt. (dùng sau bước tẩy trang). shop giao hàng nhanh, đúng sp. nói chung là hài lòng", Positive,, Positive,,,
152,mịn nhiều bọt. ok, Positive,,,,,
153,K có vấn đề..gửi hàng nhanh,,, Positive,,, Neutral
154,"Dùng sạch, mùi nhẹ và giá mềm. Tiki Trading khuyến mãi rất rẻ.", Positive, Positive,,, Positive,
155,Thấy hơi khô da. Dòng này mình dùng sữa tắm cũng kiểu vậy. Ai thích da cảm giác sạch kin kít thì dùng ổn, Neutral,,,,,
156,"làm sạch sâu nha . Kiểu sạch kin kít ý . Tuy nhiên tạo nhiều bọt , gây khô da.  Các bạn cân nhắc nha . Dùng em này với bộ ý dĩ là phê luôn", Neutral,,,,,
157,sản phẩm nhìn đẹp. mùi thơm.nhưng chưa sử dụng thử.giao hàng nhanh. đóng gói cẩn thận, Positive,, Positive, Positive,,
158,da kích ứng k nên sử dụng, Negative,,,,,
159,"mùi hóa học, khá hắc. vỏ chai cũ",, Negative,,,, Negative
160,Giao nhanh,,, Positive,,,
161,full tiếng nhật. ko có 1 tí hướng dẫn sủ dụng trên chai,,,,,, Negative
162,"Sửa rửa mặt nhiều bọt, khá mịn sau khi dùng", Positive,,,,,
163,"Sữa rửa mặt không làm khô da, làm sạch cũng khá", Neutral,,,,,
164,đóng gói sơ sài ........................,,,, Negative,,
165,sản phẩm đúng hình mà hơi rít, Neutral,,,,,
166,đóng gói cẩn thận và giao nhanh .. chất lượng sp phải trải nghiệm mới biết,,, Positive, Positive,,
167,rửa khô mặt quá:(((, Negative,,,,,
168,"tạm, hơi rít da hy vọng không dị ứng", Neutral,,,,,
169,"giao hàng nhanh, mùi thơm nhe, nhưng có vẻ bị khô da", Neutral, Positive, Positive,,,
170,Không hài lòng về chất lượng sản phẩm, Negative,,,,,
171,sp tốt da sáng lên sau 1 tuần sd, Positive,,,,,
172,"Giao hàng nhanh , gói cẩn thận",,, Positive, Positive,,
173,Dùng bình thường ko xuất sắc lắm, Neutral,,,,,
174,sạch thơm dễ chịu mịn,, Positive,,,,
175,dịch nhưng giao hàng nhanh,,, Positive,,,
176,Đủ sạch và không bị khô da, Neutral,,,,,
177,"Bọt nhiều, rửa cũng OK", Positive,,,,,
178,"dùng cũng được , sạch da mặt", Neutral,,,,,
179,Thanh toán trước mà hàng thì vạn chuyển chậm chạp .,,, Negative,,,
180,"Mát lạnh, sạch, sảng khoái.. Giao hàng nhanh như chớp, tối order mà sáng có rồi... Thật vi diệu", Positive,, Positive,,,
181,Giao hàng siêu tốc. Vừa đặt hàng lúc 8h hôm thứ 7. 10h30 hôm sau anh shiper đã gọi điện rồi. Hàng OK 👌,,, Positive,,, Neutral
182,"Do đang cần 1 tuýp sữa rửa mặt để dùng với máy rửa mặt mà tiện gộp đơn ở Tiki nên mình chọn mua loại này của Oxy sau khi tham khảo kĩ 1 số loại. Nhận hàng về thấy vẫn còn nguyên seal đóng ở đầu tuýp sữa rửa mặt nên an tâm là hàng mới. Sử dụng thử thấy khá mát lạnh, sau khi rửa không thấy da mặt bị khô như 1 số loại sữa rửa mặt khác mà mình sử dụng. Da mặt mình là da mặt hỗn hợp thiên dầu.", Positive,,,,, Positive
183,"Mới sử dụng chưa biết hiệu 
quả như thế, hy vọng sản phẩm đạt chất lượng.", Neutral,,,,,
184,sản phẩm tốt có mùi dễ chịu.nhưng khá khô da sau khi rửa mặt...................giá cả hợp lý.giao hàng nhanh...., Negative, Positive, Positive,, Positive,
185,"I bought it for my brother, the product is good, fast delivery, thanks", Positive,, Positive,,,
186,"Xài ổn, mà xài hết rồi nên khum có hình đâu", Neutral,,,,,
187,"Mát lạnh, thơm, cảm giác mặt được sạch sẽ", Positive,,,,,
188,ổn giá cũng ngang thị trường mà lãi dc cái ship nhanh,,, Positive,, Neutral,
189,mát ok nhưng không có hạt mát xa nên hơi chán, Neutral,,,,,
190,Giao siêu nhanh. Sản phẩm chuẩn,,, Positive,,, Positive
191,Cảm thấy rất hài lòng giao hàng nhanh giá phù hợp,,, Positive,, Neutral, Positive
192,"Giao hàng nhanh, gói kỹ nhưng chưa sử dụng. Khi nào dùng sẽ nói",,, Positive, Positive,,
193,Sản phẩm ko tặng kèm khăn tắm như mô tả,,,,,, Negative
194,sạch mà ít bọt, Neutral,,,,,
195,"Chất lượng rất tốt, giá sale", Positive,,,, Positive,
196,"Giao hàng: rất nhanh. Shipper rất rất rất có tâm luôn.
Về sản phẩm: gói hàng cẩn thận.
Tuy nhiên mình thấy mẫu mới của innisfree nên mua thử coi độ pH có thấp hơn không. Mà thử nó vẫn là pH khoảng 8 (cao). Mọi người cân nhắc nhé. Mặc dù sạch sâu nhưng sẽ làm mất lớp dầu tự nhiên trên da, rửa xong phải dưỡng ẩm ngay nếu không sẽ đổ nhiều dầu hơn đó. Mua lúc sale nên giá rẻ hơn.", Neutral,, Positive,, Positive,
197,"Đồ của Innisfree mình thấy dùng có hiệu quả ngay, hay là do da mình hợp thì không biết :v mua sale 11.11 vừa rẻ mà lại được tặng cả 1 đống quà. Quá thích", Positive,,,, Positive, Positive
198,Giao hàng nhanh. Đóng gói tốt. Sản phẩm mùi dễ chịu. Không gây kích ứng da. Hài lòng., Neutral, Positive, Positive, Positive,,
199,Thương hiệu này mình đã xài lâu năm rất ok. Nhưng trước mình mua tại shop. Nay thử trên tiki. Giá tốt hơn. Giao hàng nhanh. Ủng hộ, Neutral,, Positive,, Positive,
200,Làm sạch sâu. Sữa rửa mặt mềm mịn cực lỳ thích. Ko bị khô da sau khi rửa. Sẽ mua tiếp lần sau., Positive,,,,,
201,Làm sạch sâu  đóg gói sp tốt, Positive,,, Positive,,
202,Sử dụng tốt và phù hợp với da của mình0, Positive,,,,,
203,"Rất tốt nên mua nha!!
Dùng nhanh hết 
Vì hàng chính hãng nên mn yên tâm nha!", Positive,,,,, Positive
204,Mùi rất dễ chịu. Ko bị khô da, Neutral, Positive,,,,
205,"Sản phẩm rất tốt, đã dùng rất nhiều tuýt, sp ko làm khô da giá hợp lý", Positive,,,, Neutral,
206,"Sữa rửa mặt innisfree sạch da nhờn rất tốt,  giao hàng nhanh", Positive,, Positive,,,
207,"Làm sạch sâu, sạch nhờn", Positive,,,,,
208,Sạch sâu .da mình hỗn hợp.có mụn ẩn dùng ổn, Positive,,,,,
209,"Làm sạch, không gây kích ứng da", Positive,,,,,
210,Hàng chuẩn nhé cả nhà,,,,,, Positive
211,"Mùi thơm mát, sử dụng ổn", Neutral, Positive,,,,
212,Đã Sài nhiều lần rồi,,,,,, Positive
213,"Đúng là lừa đảo mà, kêu tặng thêm mà ko thấy đâu, đặt hàng bên shoppe lâu rồi ko mất ship, thấy bên tiki có quà tặng nên mới thử đặt cuối cùng là lừa người, mua bên lazada còn rẻ hơn ấy chứ, đã thế mk còn muốn mua green tea nhưng ko có nữa",,,,, Negative, Negative
214,"Sữa rửa mặt se khít lỗ chân lông có chưa BHA này mình thÁy bị khô da, rửa kiểu tẩy mạnh rửa xong da khô mà làm mặt khó chịu. Nổi mụn nửa @@ ultr đổi lẹ mất hết mấy trăm", Negative,,,,,
215,Mua làm quà tặng. Bên ngoài có vết bẩn ở cả 2 tuýp,,,,,, Negative
216,lần đầu mua hàng trên tiki và rất hài lòng vì tiki giao một lần luôn nên không cần lấy nhiều lần. chai này được giới thiệu rất tốt. nhìn hsd còn lâu. 4 năm nữa,,,, Negative,, Positive
217,"Đóng gói tốt có lớp chống sốc và nhãn dẽ vỡ
Sp ok nên dùng rất tốt rẻ mà rủa sạch k bị khô da", Positive,,, Positive,,
218,"Em này mình xài được 5 6 lần gì rồi á
Giá hssv mà hiệu quả mang lại cá nhân mình thấy kh thua gì mấy thương hiệu khác
Mình thuộc dạng da dầu mà xài ẻm là kh còn bóng nhờn nữa, da mặt được dưỡng ẩm, mướt mát đã lắm
Cá nhân mình thấy dòng này kh có mùi gì khó chịu, khả năng tạo bọt okla, do PH ổn định nên kh gây kin kít da đâu nhe. Xài em này mình kh có bị lo về việc nổi mụn do khô da luôn á
Bao bì đẹp, tối giản theo đúng phong cách Hada, nắp chắc lắm luôn, kh có lỏng lẻo, mỗi tội mình tìm hoài vẫn chưa thấy hsd ở đâu :)))
Mình mua đợt này do sale, tiki bảo tặng túi nữa nên quất liền, sản phẩm hơn 170k luôn mà kh thấy :((( kh biết sao
Nhưng mà nói chung em này 10/10 nha, mọi người nên thử", Positive,,,, Positive,
219,"Sản phẩm làm sạch sâu, không gây kích ứng, và không gây khô da.", Positive,,,,,
220,"Mình dùng em sửa rữa mặt (srm) Hada Labo Advanced Nourish- Hyaluron Cleanser này cũng gần hết tuýp thứ 3 rồi, tất nhiên là mình vẫn thấy thích lắm. Nhưng đây là lần đầu mình dùng ứng dụng mua sắm trực tuyến tại trang Tiki, vì thấy được sự tiện lợi, được mua hàng chính hãng, mà không quá tốn thời gian lựa chọn, lại còn được giao hàng tận nhà luôn. Cảm nghĩ về dịch vụ mua & vận chuyển của Tiki rất ổn nhé! Đối với sản phẩm này thì mình dùng cũng đủ nhiều nên các bạn nào muốn dùng thử thì đừng ngại ngùng chi, hãy nhanh tay đặt hàng đi nè! Đặc biệt với các bạn da khô thì càng cần mua đấy, bởi dưỡng ẩm của em này ok lắm. Xài là sẽ phê cho mà coi ^^ 
Nói về thiết kế: em này có dạng tuýp như hình, với hai màu chủ đạo là trắng và xanh da trời rất thanh tao, nhã nhặn, rất Hada Labo, rất Nhật.
Cảm nhận sau khi dùng: Sp có một mùi thơm nhẹ không gây khó chịu lắm. Khả năng tạo bọt của em này mình đánh giá là rất tốt, mình dùng tay không cũng đã tạo được 1 lượng kha khá rồi chưa kể còn dùng lưới tạo bọt. Lớp bọt mịn, len lỏi sâu vào tận lỗ chân lông giúp làm sạch da một cách hiệu quả hơn rất nhiều. Khi rửa mặt xong thì mình thấy da cực kì mềm, sạch vừa phải chứ không sạch quá dân đến khô kin kít. Đối với mình đây là loại srm cho mình finish đã nhất luôn ấy, da mềm mịn, căng mọng mà vẫn đủ nước. Dùng em này còn giúp mình giảm bớt 1 ít mụn cám nữa cơ mà. Độ pH của sản phẩm này là 5.5 và đây là độ pH rất hợp lí cho da mặt.
Ưu điểm: Rẻ với túi tiền sinh viên; rửa đủ sạch mà không làm khô da; thành phần ổn; bao bì đơn giản, mùi nhẹ nhàng, không gây khó chịu; dễ tìm mua chính hãng, đỡ sợ hàng giả.
Nhược điểm: Trừ khi bị dị ứng với thành phần trong srm, còn không thì không có chỗ nào để chê được
Nếu bạn đang muốn tìm 1 loại srm có đầy đủ chức năng cơ bản, quan trọng là rửa nhẹ nhàng không gây khô da, ở phân khúc giá rẻ thì mua em ấy dùng thử đi!", Positive,, Positive,, Negative,
221,"Giao hàng siêu lẹ luôn, mình đặt 8h tối hqa là 11h sáng hôm sau đã giao rồi. Trước giờ mình xài loại màu xanh , để chai ngược sáng không thấy gì. Nay dùng thử chai màu trắng, đặt ngược sáng nhìn lượng kem hết hồn luôn :v . Date đến năm 2021 nha.Nói chung là rất hài lòng.",,, Positive,,, Positive
