,Unnamed: 0,Content,quality,smell,shipping,packing,price,others
21,21,Lúc mình đặt hàng thì Tiki có nói sẽ tặng kèm lưới tạo bọt nhưng giờ nhận hàng thì không có nên mình không hài lòng lắm.,,,,,,Negative
22,22,date xa tháng 3 năm 2026 ship nhanh săn sale có mã giảm giá của shop nên giá hời có tem chính hãng,,,Positive,,Positive,Positive
23,23,"da thường"" là một làn da cân bằng các vùng chữ t trán cằm và mũi có thể là một chút dầu nhưng nhìn chung độ dầu và độ ẩm cân bằng và da không quá nhờn hoặc quá khô",Positive,,,,,
24,24,đóng gói sản phẩm rất là rất kĩ không bị dò dỉ giao hàng nhanh chóng lun sản phẩm nhẹ dịu nói chung là mua nha mọi người,Positive,,Positive,Positive,,
25,25,đóng gói cẩn thận check ra mã code mua shopee mall nên khá yên tâm mình mua cho c nên mình k xài c mình lần trc dùng loại này thấy ok nên nhờ mình mua,Positive,,,Positive,,Positive
26,26,Sản phẩm nhận được khác hoàn toàn hình ảnh tiki đưa ra! Hỏi hỗ trợ thì đến bây giờ vẫn chưa nhận đc tin nhắn trả lời! Làm ăn thiếu chuyên nghiệp ! Bán hàng loại nào thì đưa đúng hình ảnh loại đấy ra đừng làm ăn mù mờ như vậy! Người tiêu dùng mua hay ko thì họ có quyền lựa chọn!,,,,,,Negative
27,27,gel phù hợp cho da dầu mụn tạo bọt trung bình mới dùng thử chưa thấy nhìu hiệu quả lắm,Neutral,,,,,
28,28,Khá hài lòng với sản phẩm này. Sạch mụn lưng.,Positive,,,,,
29,29,có mùi thơm nhẹ kiểu tươi mát í dùng xong da mềm k bị khô nha khá sạch mặt ncl dùng thichd còn đỡ mụn k thì chưa bíc v,Positive,Positive,,,,
30,30,đã mua nhiều lần sp hợp với da dầu mụn hợp với giá tiền,Positive,,,,,
31,31,Nghe nhiều người review nên mua dùng thử,,,,,,Neutral
32,32,cảm nhận của mình sản phẩm ok lắm ạ,Positive,,,,,
33,33,đóng gói sp chắc chắn giao hàng nhanh còn chất lượng sp chưa dùng nên chưa biết,Neutral,,Positive,Positive,,
34,34,Giữ ẩm tốt,Positive,,,,,
35,35,đóng gói hàng rất cẩn thận giao hàng rất nhanh sản phẩm đúng chuẩn date xa về chất lượng catephil thì tốt ko cần bàn cãi,Positive,,Positive,Positive,,Positive
36,36,bao bì sịn giao hàng nhanh shop nhiệt tình sẽ ủng hộ shop nhiều,,,Positive,,,Positive
37,37,đồ dùng ổn trong tầm giá đánh giá chỉ mang tính chất nhận xu,Neutral,,,,Positive,
38,38,chất lượng sp tốt giao hàng nhanh shipper thân thiện hình ảnh video mang tc nhận xu,Positive,,Positive,,,
39,39,dong goi can than xai nuoc hoa hong nay thich nha chai thu 2 minh dung,,,,Positive,,
40,40,date xa quà đầy đủ size to dũng khá lâu rửa sạch đc cả kcn có nhược điểm là sp ngày càng lên giá so với trước đây mình mua,Positive,,,,Negative,Positive
41,41,gel rửa mặt dùng khá thích nhiều bọt mùi hương không quá nồng sẽ tiếp tục ủng hộ,Positive,Positive,,,,
42,42,bao bì chai đẹp rửa sạch không khô căng da lành tính phù hợp cho da nhạy cảm luôn á mình mới sử dụng lần đầu nên cần trải nghiệm nhiều nói chung ưng lắm xài lâu hết,Positive,,,,,Positive
43,43,cảm ơn shop mình đã nhận được hàng hi vọng sp tốt lành tính vsf hợp da mình,Positive,,,,,
44,44,"Giao hàng rất là nhanh luôn, đóng gói khá là kĩ, đã thế còn kèm theo chữ “hàng dễ vỡ” nữa, check mã ra nha",,,Positive,Positive,,
45,45,Phù hợp với da mặt tiết nhiều bã nhờn,Neutral,,,,,
46,46,đóng gói ô kê giao hàng nhanh xỉu 1 ngày là tới q9 được tặng quà mừ điểm,,,Positive,Positive,,Positive
47,47,"Thành phần an toàn, mùi hương dễ chịu. Tuyp to đùng mình dùng tẩy da chết cả body mà 2 tháng mới hết. Tuy nhiên hạt scrub hơi to nếu apply lên da mặt thì hợp với các bạn da dầu và da hỗn hợp thiên dầu. Giá cả quá hợp lý so với các shop xách tay online khác. Rửa mặt lau khô xong da không có cảm giác căng cứng mà mịn, sạch, fresh.",Positive,Positive,,,,Neutral
48,48,đóng gói đẹp cầm chắc tay đã thử dùng màu xanh lá và tím nay dùng thử màu đỏ xem thế nào,,,,Positive,,Positive
49,49,"Giao hàng rất nhanh, đặt mua hôm qua thì hôm nay đã nhận được sản phẩm luôn. Sửa rửa mặt dùng rất tốt cho da mụn",Positive,,Positive,,,
50,50,đã nhận dk hàng mua dk hàng chính hãng lại nhân dịp đợt sale nên cảm thấy rất ưng ý luôn,,,,,,Positive
51,51,công dụng dưỡng ẩm,Positive,,,,,
52,52,gel rửa mặt kiểm soát bóng nhờn giúp làm sạch bụi bẩn & bã nhờn dư thừa nguyên nhân chính gây nên mụn mang lại cảm giác tươi mát cho làn da công thức sản phẩm được lựa chọn kĩ càng với các thành phần làm sạch dịu nhẹ phù hợp cho da dầu nhạy cảm,Positive,,,,,
53,53,đóng gói hàng kĩ lắm ạ shop trả lời tin thân thiện ship hàng nhanh nữa mình là da treatment nên không chắc có ổn hay không,,,Positive,Positive,,
54,54,đóng gói đẹp chất lượng oke sẽ ủng gộ shop nhìu nhiu,Positive,,,Positive,,
55,55,đóng gói cẩn thận giao hàng nhanh nhân viên giao hàng nhiệt tình được tặng voucher mua lên rất vui sản phẩm chưa ad lên chưa đánh giá để sử dụng đc sẽ quay lại ủng hộ shop,,,Positive,Positive,,Positive
56,56,giao hàng hơi chậm còn lại thì ok,,,Negative,,,
57,57,đóng gói siêu cẩn thận dùng siêu mướt da mà không bị khô da đâu ạ căng mịn lắm mall thì quá là yên tâm rồi ạ,Positive,,,Positive,,
58,58,đóng gói cẩn thận đã mua 2 lần rất hài lòng,Positive,,,Positive,,
59,59,đóng gói rất kỹ giao hàng cực nhanh sp tốt,,,Positive,Positive,,
60,60,thấy mn riviu tốt nên mua dùbg thử mà chứ dùng nên chưa bít sao nma so chắc chắn to vừa vặn đág tiền nên mua nha mn,,,,,Positive,Positive
61,61,đã mua lần 2 và cảm nhận sản phẩm rất tốt… mặt mình da dầu và mụn nhưng xài sữa rửa mặt này thì không bị khô rát hay kích ứng gì hết da mặt lại sạch mịn nữa…,Positive,,,,,
62,62,gel rửa mặt xài rất ok giao hàng nhanh đóng gói chắc chắn sẽ tiếp tục ủng hộ shop,Positive,,Positive,Positive,,
63,63,Tại sao mình ko có quà tặng là lưới tạo bọt. Quá buồn!!,,,,,,Negative
64,64,"Mình đặt đơn hàng 393609639 với sản phẩm này (Gel rửa mặt tạo bọt làm sạch & giảm nhờn cho da dầu nhạy cảm La Roche-Posay Effaclar Purifying Foaming Gel (200ml)). Tuy nhiên, hàng mình nhận được lại không giống hình giới thiệu sản phẩm. Mong giải thích và xử lý nhanh từ tiki",Negative,,,,,
65,65,đóng gói hàng rất chắc chắn giao hàng nhanh shop rất nhiệt tình,,,Positive,Positive,,
66,66,"Được bạn bè giới thiệu St. Ives là nhãn hiệu của Mỹ, thành phần 100% tự nhiên nên mình muốn dùng thử lâu rồi. Mà buồn nỗi là nơi mình ở không có bán nhãn hiệu này. Mới đây mình biết Tiki có bán sản phẩm của St. Ives (lại còn giảm giá nữa). Chọn một lúc mình thấy thích nhất là sữa rửa mặt này vì mình rất thích trà xanh. Mình đặt mua liền và giờ đã dùng được vài lần. Đây là cảm nhận của mình:
- Thích: thành phần trà xanh tự nhiên, không bọt không làm khô da, thể tích lớn dùng rất lâu, bao bì đẹp, tinh tế. Rửa xong da mặt sạch sẽ, mịn màng
- Không thích lắm: mùi thơm nhưng hơi nồng, hạt nhiều hơi to nên phải xoa nhẹ nhàng, không dùng hàng ngày được (này vốn là tẩy tế bào chết, không phải SRM đâu)
Bạn nào bị mụn đầu đen hay muốn tìm sản phẩm tẩy tế bào chết cho da thì nên dùng thử em St.Ives này nha. Thành phần tự nhiên nên yên tâm sử dụng, không gây kích ứng đâu. Dùng một thời gian là da mặt sạch mụn đầu đen và mịn màng liền. Mình là mình thích lắm",Positive,Positive,,,,Positive
67,67,đã nhận được hàng đóng gói kĩ càng shiper giao nhanh sẽ ủng hộ vào lần tới,,,Positive,Positive,,
68,68,"Đóng gói chắc, giao hàng nhanh chóng 
Sẽ ủng hộ
Nhưng mà sao lúc mình đặt có báo tặng thêm mà giao tới ko có tặng nhỉ",,,Positive,Positive,,Negative
69,69,"Hàng có ngày sản xuất từ lâu 2018, gói hàng không cẩn thận.",,,,Negative,,Negative
70,70,dùng thích sạch da hơi nhỏ giá cũng hơi chát nhưng mình vẫn sẽ mua lại nếu có tiền,Positive,,,,Positive,
71,71,đã dùng hãng này nhiều lần và rất hiệu quả sẽ tiếp tục mua hàng,Positive,,,,,
72,72,chai nhỏ nhỏ vậy thui chứ dùng cũng lâu phết sale quá rẻ dùng dịu ko kích ứng okila mình xài chắc 4 5 chai gì rùi,Positive,,,,Positive,Positive
73,73,đóng gói hộp to chỉnh chu được tặng kèm gift xịn xògiao hàng hỏa tốc 10đ ạ,,,Positive,Positive,,Positive
74,74,da dầu xài ổn cũng hơi căng da mặt khi rửa xong á mùi hơi nồng ạ mà tạo bọt tốt,Neutral,Negative,,,,
75,75,gel khá tốt da mướt sạch thoáng giao hàng nhanh,Positive,,Positive,,,
76,76,dùng mấy bộ đều oke mua nhiều lần rồi ‍?,Positive,,,,,
77,77,shop bán đónng gói chắc chắn sản phẩm có hóa đơn đầy đủ sản phẩm rất ưng sẽ ủng hộ nhiều và giới thiệu bạn bè mua đồ của shop giá cả cạnh tranh,Positive,,,Positive,Positive,Positive
78,78,dùng rất nhiều lần của hãng nhưng đây là lần đầu tiên sử dụng sf mới sf mới khác cũ là sẽ không có hạt nữa nha mn là dạng gel trắng trong nha,,,,,,Positive
79,79,đóng gói hàng chắc chắn ship ok vui vẻ chưa sử dụng nên không biết sao ship nhanh đóng gói cẩn thận là thích ?,,,Positive,Positive,,
80,80,đóng gói hàng cẩn thận thời gian giao hàng siêu nhanh mới đặt hôm qua mà hôm nay đã nhận đc r săn sale nên đc giá rẻ ?,,,Positive,Positive,Positive,
81,81,"dạng gel lỏng ít bọt
dùng ok 
hình ảnh và video chỉ mang tính chất nhận xu",Neutral,,,,,
82,82,"Da mình thuộc dạng da hỗn hợp và nhạy cảm, nhưng khi dùng sản phẩm này thấy da mềm, sạch, ít nhờn hơn bình thường.",Positive,,,,,
83,83,"mình đã mua 1 cặp dùng, sản phẩm lỏng, rửa mặt ko thấy sạch, nói chung kém chất lượng, so với giá sale còn ko xứng.",Negative,,,,Negative,Negative
84,84,đóng gói kĩ lắm luôn mua lần đầu chưa sử dụng nữa mà nghe mùi thơm nha,,Positive,,Positive,,
85,85,"Sản phẩm dễ sử dụng, không tạo bọt, phù hợp với da ít trang điểm",Neutral,,,,,
86,86,"hàng chính hãng, giao chậm",,,Negative,,,Positive
87,87,da mình da dầu nên mình xài loại sửa rửa mặt này thấy ok lắm nha làm sạch da không khô rát mà nên tìm hiểu kỹ trước khi dùng,Positive,,,,,
88,88,"Sạch, không bị khô căng, sáng da. Sẽ tiếp tục thử các dòng srm khác của Senka :))",Positive,,,,,
89,89,Đã tìm được 1 em srm hợp với da khô. Rửa cực thích.,Positive,,,,,
90,90,đóng hàng siêu cẩn thận giá tương đối tốt có bill đầy đủ đang bị kích ứng nên mua chai srm nhỏ để dùng thgian kích ứng thôi nhìn dth ghê,,,,Positive,Positive,
91,91,đóng gói cẩn thận chắc chắn giao hành nhanh các sản phẩm đều okmua toàn sp cho da dầu mụn đc tặng thêm bịch thấm dầu^^,Positive,,Positive,Positive,,
92,92,Đóng gói chắc chắn,,,,Positive,,
93,93,Giá thành bình dân nhưng chất lượng khá tốt.,Positive,,,,Positive,
94,94,đã xài rất nhiều tuýp thấy rửa sạch và thoáng nên sẽ sử dụng suốt hàng chính hãng có tem phụ yên tâm nhé,Positive,,,,,Positive
95,95,Dùng thích mn nha,Positive,,,,,
96,96,"giúp dưỡng ẩm nhưng nếu là da dầu thì có thể gây nhờn mặt, da nhớt nhớt",Negative,,,,,
97,97,chất lượng sản phẩm tuyệt vời giao hàng nhanh đóng gói sản phẩm rất kỹ,Positive,,Positive,Positive,,
98,98,dạng gel trong có bọt rửa thấy mặt sạch dầu hoàn toàn mùi hơi kiểu thuốc bắc,Positive,Negative,,,,
99,99,đóng gói sp cẩn thận nhận hàng ưng ý lắm luôn sẽ ủng hộ tiếpppp,,,,Positive,,
100,100,chai nhỏ xíu á tr chắc dùng dc mấy ngày thui hâhhahahaha,,,,,,Negative
101,101,dùng thích lắm ko bị lên mụn giao hàng nhanh nên mua,Positive,,Positive,,,
102,102,đạ nhận được hàng sản phẩm giống hình giao đủ giá cả phải chăng,,,Positive,,Positive,Positive
103,103,chất lượng phù hợp với giá tiền đóng gói chắc chắn,Positive,,,Positive,Positive,
104,104,đồ của simple mình dùng thấy nhẹ nhàng k kích ứng da nói chung là ổn,Positive,,,,,
105,105,chai này chắc xài tới tết năm sau luôn áaaaaa đóng hàng đơn giản nhưng ổn áp nè srm dịu nhẹ nói chung cũng ưngggg cái bụng,Positive,,,Positive,,
106,106,đóng gói sơ sài lúc nhận thì đã được mở rồi hàng thì bị vỡ vòi xịt mua lần đầu nhưng sẽ k mua của shop nữa,,,,Negative,,Negative
107,107,"đã sử dụng hết 2 tuýp
mua thêm tuýp thứ 3
hợp với da của minhg",Positive,,,,,
108,108,"Da mình bị mụn ẩn và dầu , dùng SRM của hãng cực kì ưng . Không bị rát mà rửa xong cảm giác thoáng ,sạch . Bọt nhiều ơi là nhiều hahah",Positive,,,,,
109,109,"chất lượng sản phẩm tuyệt vời
đóng gói chắc chắn và rất đẹp
rất đáng tiền",Positive,,,Positive,Positive,
110,110,đóng gói chắc chắn giao hàng nhanh sản phẩm ổn phù hợp giá tiền,Neutral,,Positive,Positive,Positive,
111,111,dùng rất ổn rất thích lần sau sẽ ủng hộ shop tiếp hình ảnh mang tính nhận xu,Positive,,,,,
112,112,dùng 1 tuần roid mình mới đánh giá hơi khô xíu nha mn nhưng mà hợp với da mình nên ksao bự bành cà ná,Neutral,,,,,
113,113,"giao hàng nhanh, mùi thơm nhe, nhưng có vẻ bị khô da",Neutral,Positive,Positive,,,
114,114,"Nhẹ nhàng, dêc chịu, kết hợp với nước tẩy trang là sạch",Positive,,,,,
115,115,Sp xài OK. Giao hàng nhanh.,Positive,,Positive,,,
116,116,da nhạy cảm có thể dùng shop giao hàng quá nhanh quá nguy hiểm đóng gói cũng ok hàng real,Neutral,,Positive,Positive,,Positive
117,117,dịu nhẹ không kích ứng giá phù hợp với hssv mùi dễ chịu và tiện lợi khi mang du lịch không sợ bị đổ ra các đồ dùng khác trong vali,Positive,Positive,,,Neutral,Positive
118,118,date mới cónggggggg giao hàng nhanh gói siu cẩn thận chưa dùng nên chưa đánh giá hàng mall nên yên tâm,,,Positive,Positive,,Positive
119,119,đóng gói hàng cẩn thận giao hàng hơi lâu xíu hàng chuẩn chính hãng,,,Negative,Positive,,Positive
120,120,"Mình mới dùng sản phẩm hôm qua. Đánh giá chung về dịch vụ của Tiki mình rất hài lòng tuy nhiên sản phẩm thì mình không hài lòng cho lắm. Trước mình có mua 1 sản phẩm như này của người quen xách tay và mình dùng gần hết mới đặt bên Tiki. Qua so sánh 2 sản phẩm mình thấy nó khác hẳn về chất lượng: Thứ nhất, sản phẩm mới mua bên bạn về kiểu dáng y hệt, dáng lọ cao hơn sản phẩm trước 1 chút. Thứ 2, về chất lượng sản phẩm, mình thấy sản phẩm mua bên bạn rất loảng, có màu trắng, mùi không thơm như sản phẩm trc mình dùng. Mình sẽ chụp ảnh so sảnh gửi kèm theo nhận xét này. Mình ko khẳng định hàng nào là hàng chuẩn nhưng cảm quan mình nhận đc là sản phẩm bên bạn cung cấp cho mình làm mình ko hài lòng lắm.
Mong các bạn có thể chọn lựa nhà phân phối khác để hợp tác để cả dịch vụ và sản phẩm của Tiki luôn làm hài lòng tất cả khách hàng! xin cảm ơn
Mình đã chụp ảnh về mẫu mã và sản phẩm nhưng hình về sản phẩm chụp ảnh lên ko nhìn rõ sự khác biệt, Phần bên phải là sản phẩm cũ mình dùng: nó có độ óng ánh và đặc hơn, màu như ngọc trai ấy. còn sản phẩm bên trái là mua bên Tiki nó trắng mịn ra ít bọt hơn và không thơm như sản phẩm trước của mình 
Lưu ý: bên phải các ảnh là sản phẩm trước mình mua, bên trái là sản phẩm mua của Tiki",Positive,Negative,,,,Negative
121,121,dạng gel đặt nha màu xám trong có mấy hạt li ti lúc chà ra tay tạo bọt thì ko còn hạt nữa có mùi của giấy mới á cũng ok lắm nka,Neutral,Positive,,,,
122,122,dưỡng ẩm phục hồi ra rất tốt mùa hanh khô này dùng thích hợprửa mặt sạch nhẹ nhàng,Positive,,,,,
123,123,đóng gói sản phẩm rất đẹpchất lượng sản phẩm tuyệt vờishop phục vụ rất tốtthời gian giao hàng nhanh,Positive,,Positive,Positive,,
124,124,dùng ổn lắm ạ mình mua tặng mẹ tại nó dịu nhé giá thành cũng hợp lí phù hợp với hssv,Positive,,,,Positive,
125,125,đóng gói cẩn thậncó mã tem đầy đủcheck mã hàng chính hãng nên rất yên tâm,,,,Positive,,Positive
126,126,chất lượng sản phẩm tuyệt vời đóng góp sản phẩm rất đẹp và chắc chắn shop phục vụ tốt rất đáng tiền thời gian giao hàng rất nhanh,Positive,,Positive,,,
127,127,dùng lần thứ hai rồi sửa rửa mặt ít bọt phù hợp cho da dầu thấy ổn áp nên mua dùng tiếp recommend cho những ai chưa biết đến em này nhá,Positive,,,,,
128,128,da dầu dùng loại này là chân ái vừa sạch vừa đỡ mụn mà mua 10 10 sale rẻ xỉu tặng thêm quá trời sample loại nào cũng từ 30ml đổ lên 10 điểm không có nhưng,Positive,,,,Positive,
129,129,da nhạy cảm nên rất kén xài các loại srm nma từ hồi xài loại này siêu ưngg vưói daaa,Positive,,,,,
130,130,da mình cực kì khô mình đã sd thử sp 3ngày cảm thấy k hợp vs da mình cho lắm khi sd xog da mình bị nổi mụn ẩn nhìu hơn và tình trạng da mình khô hơn trước,Negative,,,,,
131,131,đã nhân đuoc hang giao hang cuc nhanh đong goi binh thuong,,,Positive,Neutral,,
132,132,"sản phẩm gói cẩn thận, giao nhanh . cảm ơn shop........",,,Positive,Positive,,
133,133,"Mình đã thử dùng nhiều loại sữa rửa mặt nhưng chúng không mang lại những gì mà mình mong đợi. Một số sp của oxy khiến da mình rất khô rát, của hazeline thì rất bắt nắng... Nhưng tất cả những vấn đề trên đều được Vichy giải quyết bằng sp này. Sp lần đầu mình sử dụng có mùi thơm nhẹ, không nồng hắc, tạo bọt vừa đủ. Sau khi rửa mặt lại với nước thì mình cảm thấy da sạch, láng mịn hơn ban đầu nhiều vì vốn dĩ da mình là da dầu nên rất nhạy cảm. Hy vọng sp sẽ giúp da mình cải thiện hơn. Giá thành mình bỏ ra xứng đáng với chất lượng sp. Và tiki giao hàng rất cẩn thận nha.",Positive,Neutral,,Positive,Positive,
134,134,cá nhân mình khá thích mùi hương này sau khi chờ khoảng 5 7 phút thì nên xoa toàn bộ phần đã sủi ra,Negative,Negative,,,,
135,135,da dầu dùng loại này siêu đỉnh không kích ứng dịu nhẹ mà lại sạch làm giảm mụn rất tốt,Positive,,,,,
136,136,"shop gói hàng cận thận, giao hàng nhanh, chech mã chuẩn,lần sau lại mua ủng hộ shop",,,Positive,,,Positive
137,137,bao bì sản phẩm đẹp kiểu thiên nhiên chưa dùng nên chưa biết công dụng,,,,,,Positive
138,138,"cá nhân không thích mùi của sản phẩm cho lắm 
chưa dùng lâu dài nên chưa biết đánh giá 
hi vọng sản phẩm hiệu quả",,Negative,,,,
139,139,đóng gói hàng cẩn thậngiao hàng nhanh chóng trong mùa dịccchưa dùng nên k bt ntn,,,Positive,Positive,,
140,140,cũng bình thường giao hàng nhanh đóng gói chắc chắn hsd xa,,,Positive,Positive,,
141,141,đã mua hàng nhiều lần của shop nên rất yên tâm vầ sản phẩm thì khá tốt và lành tính giao hàng siêu nhanh,Positive,,Positive,,,
142,142,"tuýp srm khui ra chảy tràn cả ra ngoài... k hài lòng,",,,,,,Negative
143,143,đồ bán kèm nên chất lượng cũng bt,Neutral,,,,,
144,144,Công dụng phải dùng một thời gian mới nhận xét được. Thời gian giao hàng nhanh. Mua đồ ở tiki trading rất tên tâm,,,Positive,,,Positive
145,145,đóng hói kĩ lưỡng mua qua mall khá an tâm san sales được giá tốt nhưng mua offline tại cửa hàng giá cũng tốt như mua online,,,,Positive,Positive,
146,146,giá gần bằng 1 nữa chai 200ml mà này nhỏ ghê có 50ml à mn nên mua chai 200ml giá hơn 400k thì rẻ hơn nha,,,,,Positive,Negative
147,147,đóng gói kỹ càng giao nhanh lần đầu sài chưa biết ra sao nhưng thấy mùi nhẹ không hắc hay nghe mùi khó chịu,,Positive,Positive,Positive,,
148,148,"Mình dùng gần chục lọ sửa rửa mặt này rồi. Rất thích, rửa xong da không khô mà lại rất sạch sẽ, không bị mụn thêm!",Positive,,,,,
149,149,dùng ok ạ mua trên shopee live rẻ được chút ít hihi hi vọng đa sẽ bớt mụn,Neutral,,,,Positive,
150,150,chai dung tích lớn giá rẻ vì mua ngay flashsale mong hợp với da mình,,,,,Positive,Positive
151,151,Độ pH đạt chuẩn,,,,,,Positive
152,152,chai to đùng như dầu gội vậy á haha mình ko để ý dung tích nên nhận hơi bất ngờ sd lần đầu thấy rửa xong vẫn giữ độ ẩm hơi nhờn nhẹ ko có mùi hương liệu,Neutral,Negative,,,,Positive
153,153,đóng gói chắc chắn giao hàng cũng nhanh thấy có vẻ ổn áp nói chung đáng tiền nên mua nhé sau sẽ ủng hộ tiếp nếu cần,,,Positive,Positive,,
154,154,"đơn hàng của mình thiếu quà tặng là lưới tạo bọt, mong tiki kiểm tra lại",,,,,,Negative
155,155,"mùi rất thơm, chỉ là ai da ko ổn lắm thì ko lên dùng vì dễ khô da và nổi mụn",Neutral,Positive,,,,
156,156,dùng từ lần bị mụn tới bây giờ thấy khá đỡ dùng quen hợp ko bỏ đc luôn ko bị nhờn rít hay khô da,Positive,,,,,
157,157,chất lượng sản phẩm tuyệt mình toàn dùng loại này da mình hợp,Positive,,,,,
158,158,đã mua hàng ở shop nhiều lần rồi nhưng lần này hơi thất vọng vì không biết do vận chuyển hay do shop giao hàng cho mình tuýp bị rách ở góc làm sữa rửa mặt ra lem hết,,,Negative,,,Negative
159,159,đóng gói sản phẩm tạm thời gian chuẩn bị hàng nhanh giao hàng đúng thời hạn chất lượng sản phẩm ổn shop gửi đủ hàng,Positive,,Positive,Positive,,Positive
160,160,chất lượng sản phẩm tốt giao hàng nhanh đóng gói kỹ càng mình không có hình ở đây nên xin phép đăng ảnh với vid khác,Positive,,Positive,Positive,,
161,161,đóng hàng chất lượng giao hàng đúng ngày shipper vui vẻ hàng của hasaki nên hông noái gì thiêm,Positive,,Positive,Positive,,
162,162,"Mình không biết đây có phải hàng chính hãng không vì mùi và sữa không giống với bình thường mình hay dùng. Nếu ad đọc được thì trả lời mình nha, tại mình sử dụng thì thấy bị nổi mụn nữa nên hoang mang quá.",,Negative,,,,
163,163,được tặng thêm quà nữa mn à,,,,,,Positive
164,164,chai thứ n mình mua sữa rửa mặt này rửa xong ẩm mịn chứ k khô căng da rất đáng tiền luôn ạ mn nên mua trải nghiệm nb,Positive,,,,,
165,165,chai to xài rất lâu nha săn sale chưa tới 400 cành nữa xài xanh lá cho da khô,Positive,,,,,
166,166,đã mua quá nhiều lần sữa rửa mặt của shop rồi hàng chính hãng dùng oke không bị khô da hình ảnh chỉ mang tính chất minh họa ạ,Positive,,,,,
167,167,chai sữa rửa mặt siêu to khổng lồ ship hàng nhanh,,,Positive,,,Positive
168,168,"đã quay lại mua lần 2 của shop 
sản phẩm oki sẽ ủng hộ shop dài",Positive,,,,,
169,169,đã mua 1 lần và mua lại lần 2 hàng chính hãng giống chai cũ,,,,,,Positive
170,170,shop đóng gói rất cẩn thận... xài rất thích,,,,Positive,,Positive
171,171,đã sử dụng sữa rửa mặt của senka từ lâu rửa mặt xong da sạch mà vẫn ẩm mịn mua được giá tốt chỉ 45k dịch nhưng giao hàng không quá lâu sẽ tiếp tục ủng hộ shop,Positive,,Neutral,,Positive,
172,172,đồ tốt đóng gói kỹ mua tới 5 trai mà quên quay lại video nên chụp ảnh pizza,Positive,,,Positive,,
173,173,dịu nhẹ dễ sử dụng cho da đã xài mấy năm mua live được giá ưu đãi,Positive,,,,Positive,
